,umber.csv,wpdev.csv,orc.csv,ivatamasks.csv,plato.csv,onotoa.csv,rodin-b-sharp.csv,gwanted.csv,proftp.csv,echongl.csv,xpontus.csv,unicase.csv,uclmda.csv,google-web-toolkit.csv,findbugs.csv,codesmith.csv
codesmith.csv,0.22,0.5,0.79,0.32,0.12,0.69,0.77,0.4,0.84,0.71,0.42,0.22,0.33,0.39,0.8,0.21
echongl.csv,0.98,0.0,0.62,1.0,0.75,0.69,0.77,0.63,0.49,0.16,0.71,0.95,0.5,0.6,0.4,0.32
findbugs.csv,0.89,0.0,0.71,0.96,0.75,0.75,0.85,0.77,0.54,0.29,0.89,0.96,0.67,0.62,0.31,0.74
google-web-toolkit.csv,0.98,0.0,0.71,0.68,0.62,0.44,0.65,0.21,0.54,0.26,0.85,0.88,0.83,0.38,0.44,0.24
gwanted.csv,0.51,0.0,0.31,0.34,0.5,0.38,0.29,0.22,0.32,0.11,0.56,0.76,0.0,0.51,0.42,0.0
ivatamasks.csv,0.93,0.0,0.69,0.28,0.38,0.81,0.77,0.38,0.38,0.89,0.8,0.83,0.83,0.57,0.69,0.41
onotoa.csv,0.87,0.5,0.63,0.0,0.0,0.62,0.49,0.09,0.51,0.87,0.2,0.58,0.33,0.22,0.56,0.21
orc.csv,0.22,0.0,0.21,0.36,0.5,0.19,0.28,0.24,0.46,0.0,0.44,0.27,0.67,0.25,0.18,0.15
plato.csv,0.93,1.0,0.96,0.7,0.25,1.0,0.93,0.56,1.0,0.74,0.85,0.96,0.83,0.82,0.96,0.88
proftp.csv,0.15,0.0,0.19,0.98,0.75,0.25,0.21,0.54,0.27,0.16,0.56,0.39,0.0,0.46,0.2,0.0
rodin-b-sharp.csv,0.04,1.0,0.09,0.49,0.5,0.38,0.16,0.57,0.19,0.32,0.25,0.2,0.0,0.24,0.29,0.62
uclmda.csv,0.04,0.0,0.26,0.0,0.25,0.44,0.22,0.12,0.19,0.0,0.07,0.12,0.0,0.05,0.11,0.21
umber.csv,0.09,1.0,0.97,0.72,1.0,0.75,0.87,0.91,0.92,0.92,0.78,0.3,0.67,0.82,0.98,1.0
unicase.csv,0.24,1.0,0.78,0.94,0.75,0.38,0.69,0.79,0.86,0.55,0.75,0.41,0.67,0.82,0.87,0.88
wpdev.csv,1.0,0.0,0.99,1.0,1.0,0.88,1.0,0.93,1.0,0.92,0.97,0.99,1.0,0.95,1.0,0.88
