,umber.csv,wpdev.csv,orc.csv,ivatamasks.csv,plato.csv,onotoa.csv,rodin-b-sharp.csv,gwanted.csv,proftp.csv,echongl.csv,xpontus.csv,unicase.csv,uclmda.csv,google-web-toolkit.csv,findbugs.csv,codesmith.csv
codesmith.csv,0.82,0.51,0.85,0.57,0.73,0.81,0.83,0.64,0.88,1.01,0.42,0.58,0.51,0.69,0.91,0.25
echongl.csv,0.98,0.33,0.63,1.0,0.89,0.71,0.79,0.65,0.55,0.21,0.71,0.95,1.1,0.64,0.59,0.72
findbugs.csv,0.89,0.33,0.76,0.97,0.86,0.76,0.96,0.78,0.58,0.44,0.89,0.96,1.14,0.66,0.53,0.79
google-web-toolkit.csv,0.98,0.63,0.75,0.72,0.86,0.67,0.97,0.61,0.59,0.58,0.85,0.89,1.13,0.5,0.62,0.71
gwanted.csv,0.57,0.56,0.53,0.59,0.63,0.59,0.73,0.39,0.47,0.87,0.56,0.78,0.82,0.62,0.68,0.98
ivatamasks.csv,0.93,0.52,0.85,0.36,0.83,0.84,0.97,0.57,0.5,0.92,0.8,0.86,0.83,0.65,0.75,0.62
onotoa.csv,1.14,0.69,1.03,0.96,0.98,0.74,1.01,0.9,1.01,0.88,1.02,0.83,0.36,0.76,0.77,0.75
orc.csv,0.97,0.5,0.24,0.63,0.66,0.81,0.81,0.69,0.48,1.0,0.44,0.63,1.19,0.73,0.7,0.9
plato.csv,0.93,1.0,0.99,0.73,0.33,1.0,0.93,0.64,1.0,0.77,0.85,0.96,0.83,0.83,0.96,0.88
proftp.csv,0.65,0.65,0.54,1.0,0.86,0.72,0.79,0.57,0.38,0.47,0.56,0.56,1.0,0.7,0.85,1.0
rodin-b-sharp.csv,0.48,1.08,0.57,0.83,0.72,0.78,0.24,0.8,0.92,0.56,1.03,0.61,0.94,0.82,0.77,0.88
uclmda.csv,1.0,0.99,0.97,1.0,0.94,0.85,0.92,1.01,0.92,0.99,1.0,0.97,0.01,0.95,0.94,0.53
umber.csv,0.14,1.01,0.97,0.73,1.0,0.79,0.87,0.92,0.92,0.93,0.78,0.56,0.67,0.86,1.03,1.0
unicase.csv,0.26,1.01,0.78,0.95,0.75,0.58,0.7,0.8,0.86,0.68,0.75,0.47,1.18,0.84,0.89,0.91
wpdev.csv,1.0,0.01,0.99,1.0,1.0,0.88,1.0,0.95,1.0,0.92,0.97,0.99,1.0,0.95,1.0,0.9
