,gpsmid.csv,mob-sen-plat.csv,k3d.csv,encog-cs.csv,flexpay.csv,m-a-d-n-e-s-s.csv,fido.csv,v8.csv,ninject.csv,fluent-nhibernate.csv,columba.csv,geochat.csv,uface.csv,cme.csv
cme.csv,0.0,0.0,0.75,0.0,0.97,0.0,0.0,0.8,0.67,0.0,0.8,0.94,0.0,0.83
columba.csv,0.38,0.34,0.4,0.52,0.43,0.39,0.31,0.43,0.86,0.46,0.48,0.65,0.41,0.35
encog-cs.csv,0.36,0.35,0.37,0.49,0.45,0.46,0.31,0.45,0.43,0.48,0.41,0.43,0.43,0.4
fido.csv,0.8,0.0,0.0,0.0,0.9,0.0,0.94,0.83,0.0,0.92,0.95,0.67,0.43,0.0
flexpay.csv,0.59,0.49,0.42,0.43,0.63,0.79,0.56,0.7,0.72,0.93,0.42,0.59,0.56,0.53
fluent-nhibernate.csv,0.39,0.73,0.82,0.55,0.51,0.52,0.72,0.77,0.86,0.62,0.73,0.62,0.73,0.8
geochat.csv,0.94,0.0,0.72,0.9,0.74,0.92,0.52,0.95,0.7,0.85,0.46,0.63,0.96,0.94
gpsmid.csv,0.4,0.39,0.38,0.37,0.49,0.49,0.41,0.48,0.52,0.53,0.45,0.37,0.42,0.41
k3d.csv,0.67,0.5,0.73,0.88,0.94,0.93,0.79,0.95,0.9,0.9,0.98,0.83,0.84,0.8
m-a-d-n-e-s-s.csv,0.92,0.5,0.79,0.87,0.75,0.52,0.95,0.59,0.88,0.43,0.62,0.91,0.91,0.36
mob-sen-plat.csv,0.35,0.39,0.42,0.38,0.39,0.36,0.34,0.36,0.64,0.43,0.45,0.59,0.39,0.38
ninject.csv,0.59,0.89,0.62,0.97,0.56,0.47,0.58,0.49,0.64,0.46,0.77,0.53,0.54,0.65
uface.csv,0.33,0.52,0.36,0.36,0.38,0.41,0.32,0.41,0.39,0.41,0.41,0.38,0.37,0.34
v8.csv,0.47,0.83,0.56,0.43,0.56,0.45,0.54,0.49,0.46,0.62,0.49,0.71,0.52,0.93
