,gpsmid.csv,mob-sen-plat.csv,k3d.csv,encog-cs.csv,flexpay.csv,m-a-d-n-e-s-s.csv,fido.csv,v8.csv,ninject.csv,fluent-nhibernate.csv,columba.csv,geochat.csv,uface.csv,cme.csv
cme.csv,0.02,0.0,0.04,0.0,0.04,0.0,0.0,0.02,0.0,0.0,0.04,0.16,0.0,1.0
columba.csv,0.69,0.66,0.72,0.51,0.59,0.62,0.6,0.42,0.65,0.72,0.66,0.37,0.62,0.75
encog-cs.csv,0.13,0.35,0.35,0.7,0.49,0.56,0.09,0.49,0.35,0.17,0.17,0.4,0.09,0.17
fido.csv,0.12,0.0,0.0,0.0,0.07,0.0,0.97,0.04,0.0,0.28,0.18,0.0,0.68,0.0
flexpay.csv,0.41,0.55,0.57,0.45,0.52,0.41,0.51,0.36,0.44,0.4,0.67,0.54,0.55,0.8
fluent-nhibernate.csv,0.75,0.34,0.55,0.55,0.55,0.47,0.29,0.23,0.24,0.92,0.43,0.31,0.35,0.0
geochat.csv,0.14,0.0,0.36,0.06,0.34,0.14,0.0,0.22,0.43,0.21,0.47,0.6,0.25,0.0
gpsmid.csv,0.75,0.45,0.3,0.13,0.53,0.49,0.77,0.45,0.59,0.89,0.63,0.05,0.7,0.4
k3d.csv,0.05,0.07,0.8,0.07,0.05,0.24,0.0,0.12,0.0,0.4,0.24,0.16,0.26,0.0
m-a-d-n-e-s-s.csv,0.28,0.07,0.24,0.3,0.3,0.73,0.29,0.32,0.24,0.7,0.5,0.2,0.21,0.61
mob-sen-plat.csv,0.57,0.71,0.77,0.62,0.3,0.63,0.48,0.54,0.43,0.62,0.75,0.4,0.74,0.36
ninject.csv,0.46,0.14,0.36,0.2,0.41,0.58,0.53,0.66,0.96,0.59,0.33,0.51,0.55,0.23
uface.csv,0.7,0.51,0.52,0.62,0.61,0.36,0.51,0.29,0.38,0.74,0.68,0.52,0.91,0.54
v8.csv,0.53,0.11,0.47,0.47,0.52,0.51,0.5,0.82,0.38,0.65,0.54,0.5,0.53,0.0
