reliable,editorial_view,editorial_number,format,format_number,Newswire,multiplatform_or_singleplatform,Year_Source_Was_Founded,year_number,Twitter_Followers,Number_Of_Tweets_And_Followers_Ratio,Facebook_Total_Page_Likes,Youtube_Total_Video_Views,Youtube_Subscribers_View_Ratio,Instagram_Followers_Posts_Ratio,Global_Rank,US_Rank,Daily_Pageviews_Per_Visitor,Daily_Time_On_Site_Per_Visitor,Sites_Linking_In,Total_Citations
1,Newswire,3,Newswire,6,1,1,1939,3,1210000,11.06,372490,242577928,1992.9,101.1,36629,93270,1.79,259,2673,0
1,Newswire,3,Newswire,6,1,1,1846,1,9850000,58.982,498069,147123379,962.9942923,244.6524064,12496,2380,1.34,144,1053,9063
1,Liberal,1,Television/Radio,2,0,1,1922,3,29700000,948.882,39232395,3000324429,2687.256374,637.3232424,109,80,2.75,264,87281,499
1,Liberal,1,Television/Radio,2,0,1,1981,4,3750000,17.442,2379288,177632530,354.4328517,12.9587156,472,158,1.74,329,86726,1507
1,Newswire,5,Newswire,6,1,1,1979,4,1570000,56.272,756803,149804584,991.2430787,39.3728223,14712,2238,1.59,203,9139,25
0,Liberal,1,Television/Radio,2,0,1,1980,4,31800000,269.492,26504943,1675885213,931.2299651,1203.819012,102,19,2.4,266,174836,5915
0,Conservative,2,Magazine,5,0,1,1917,3,11900000,77.273,4390912,100749146,333.4551743,4590.163934,249,84,2.9,161,142957,410
1,Liberal,1,Newspaper,1,0,1,1881,2,2571802,16.277,2530063,161998659,2002.579381,136.3278172,835,150,1.48,159,83988,652
1,Liberal,1,Newspaper,1,0,1,1851,2,33519912,127.452,12863362,326251797,412.9827086,633.2757628,129,26,2.19,252,281357,3837
1,Liberal,1,Magazine,5,0,1,1933,3,3230000,35.185,1250524,4934,0.551901566,65.40983607,5327,1399,1.21,182,26004,409
1,Liberal,1,Television/Radio,2,0,1,1970,4,6690000,61.376,5757778,23470061,242.8356027,663.5160681,700,130,1.37,140,85750,685
1,Newswire,3,Newswire,6,1,1,1851,2,16600000,93.258,3570055,176984026,859.5212763,226.7573696,532,226,2.12,250,103373,2758
1,Liberal,1,Magazine,5,0,1,1843,1,18800000,190.283,7788597,27168612,117.0420158,217.3053152,2095,1058,1.81,170,46111,0
1,Liberal,1,Magazine,5,0,1,1923,3,13100000,60.369,11750203,85353557,496.9697289,1308.615049,723,211,1.48,140,89791,0
1,Conservative,2,Newspaper,1,0,1,1889,2,12916551,69.444,5386029,294484547,631.1000726,661.0878661,511,137,1.96,197,132621,3297
1,Liberal,1,Newspaper,1,0,1,1877,2,8869818,42.643,5261942,45560970,617.6000054,553.3790402,226,42,1.81,216,91458,2560
