ns,nd,nf,entropy,la,ld,lt,ndev,age,nuc,exp,rexp,sexp,fix
1,1,1,0,2,0,219,23,296.2276852,1,3,0.009345794,1,FALSE
4,5,5,2.02960611,22,26,31.8,8,454.491713,3,1,0,0,FALSE
1,1,1,0,1,1,219,23,79.75094907,1,1,0,0,FALSE
1,1,1,0,3,3,221,9,69.1834838,1,1,0,0,TRUE
2,2,2,0.918295834,8,7,28.5,6,31.19594907,1,3,0.4,2,FALSE
1,1,2,0.918295834,3,3,147.5,24,2.781909722,1,367,12.6690919,160,FALSE
1,1,1,0,8,8,221,9,0.525891204,1,366,10.67539789,212,FALSE
1,1,1,0,5,6,222,9,0.014652778,1,365,8.676956919,211,FALSE
1,1,2,0.811278124,4,0,145.5,24,0.024895833,1,364,6.67703653,159,FALSE
1,1,1,0,26,28,224,9,0.045092593,1,363,4.677212866,210,FALSE
1,1,2,0.811278124,20,20,145.5,24,268.428287,2,5,0.074074074,2,TRUE
4,4,5,1.788051487,30,31,25.8,7,353.9899583,5,362,2.677901096,133.25,FALSE
1,1,1,0,23,53,254,9,435.0009028,1,1,0,0,TRUE
4,4,6,2.081988797,82,71,57.16666667,7,283.6063503,3,2,0,0.5,FALSE
1,1,1,0,6,1,213,23,236.4186343,1,1,0,0,FALSE
1,1,1,0,1,1,34,1,727.4311921,1,3,2,1,TRUE
1,1,1,0,1,1,198,23,472.0470949,1,2,0,0,FALSE
1,1,1,0,1,1,26,6,88.13416667,1,5,4,1,FALSE
1,1,1,0,6,6,35,5,135.2479051,1,4,2,1,FALSE
1,1,1,0,4,4,27,5,195.603588,1,3,0,0,FALSE
1,1,1,0,1,1,320,4,198.9424306,1,4,2,1,FALSE
1,1,1,0,1,1,213,23,22.60731481,1,3,0,1,TRUE
1,1,1,0,2,2,26,6,47.11822917,1,361,7.066681332,157,FALSE
1,1,1,0,2,2,213,23,27.94787037,1,360,7.263693815,156,FALSE
1,1,2,0.918295834,3,3,54,3,140.153044,2,359,5.263693815,155,FALSE
1,1,1,0,1,1,73,3,21.71678241,1,1,0,0,TRUE
1,1,1,0,1,1,213,23,39.00125,1,1,0,0,TRUE
3,3,3,1.148834854,6,8,132.3333333,13,166.7160532,3,358,7.118272059,169,FALSE
2,2,2,0.918295834,3,3,30.5,7,60.16394676,2,357,5.120443289,148.5,FALSE
1,1,1,0,2,0,211,23,25.6380787,1,1,0,0,FALSE
2,2,2,0.99107606,5,4,15.5,6,45.39326389,1,5,1,1,FALSE
1,1,1,0,13,0,198,23,128.5923495,1,1,0,0,FALSE
1,1,1,0,1,1,27,5,0.000543981,1,4,2,2,TRUE
1,1,2,0,1,0,23.5,5,11.23321759,2,3,0,1,FALSE
1,1,2,0.391243564,20,32,311.5,13,1.784820602,2,5,2.042553191,4,FALSE
1,1,1,0,19,6,354,7,146.7151389,1,4,0.042553191,3,FALSE
1,1,1,0,1,1,3,1,0.001516204,1,356,9.707355581,207,FALSE
2,4,7,2.258643361,66,40,24.42857143,8,245.2459144,5,355,7.707355581,174.5,FALSE
4,5,6,1.405437886,68,70,84,13,218.8458372,5,354,5.707355581,129.5,FALSE
1,1,1,0,5,2,317,4,0.232974537,1,5,3,4,FALSE
2,2,4,1.690895646,65,18,134,11,9.684777199,2,4,1,2.5,FALSE
3,4,7,1.88990694,145,15,99.85714286,16,134.7609342,6,3,0,1,FALSE
1,1,1,0,1,1,198,23,122.8662616,1,1,0,0,FALSE
1,1,1,0,2,1,72,3,18.03265046,1,353,15.97409806,151,FALSE
1,1,1,0,4,1,23,2,0.005983796,1,352,13.97409806,141,TRUE
1,1,1,0,2,2,254,9,0.000844907,1,351,11.97409806,204,FALSE
2,6,6,1.957862682,114,39,65.66666667,17,92.65748071,5,350,9.974098062,171.5,FALSE
1,1,1,0,1,1,25,6,0.00880787,1,349,13.88187832,150,TRUE
1,1,2,0.985228136,5,2,52,3,99.77688657,2,348,11.88187832,149,FALSE
2,2,2,0.918295834,3,3,26.5,6,0.001631944,1,347,9.881878316,170.5,FALSE
4,4,4,1.657401734,49,58,23.25,7,154.7941956,2,346,7.881878316,126.25,FALSE
1,1,2,0.99947302,37,0,300,9,165.1011285,2,1,0,0,FALSE
1,1,2,1,6,2,131.5,24,46.20026042,2,345,20.30010009,147,FALSE
1,1,1,0,1,2,312,3,0.021319444,1,344,18.30010009,200,FALSE
1,1,1,0,1,1,118,1,0.018622685,1,343,16.30010009,199,FALSE
1,2,2,1,2,0,92.5,6,79.74251157,2,342,14.30155147,137,FALSE
1,1,2,0.522559375,9,8,214.5,3,65.68581597,2,341,12.30155147,198,FALSE
2,4,4,1.681046078,15,12,107.25,9,100.737853,3,340,10.30227716,166.5,FALSE
1,1,1,0,1,1,198,23,13.58670139,1,1,0,0,FALSE
3,5,9,2.304845536,115,30,73.44444444,14,40.07846193,7,339,16.91552362,159,FALSE
2,2,4,1.784941827,11,10,75.5,24,67.7075434,4,338,21.9877822,170,FALSE
1,1,1,0,14,19,203,23,2.145717593,1,336,18.9877822,144,FALSE
1,1,1,0,11,8,306,3,37.87086806,1,337,17.9877822,194,TRUE
1,1,1,0,3,0,61,3,35.1366088,1,335,16.0736334,143,FALSE
