,ktc.csv,elmo.csv,neoengine.csv,jajuk.csv,zorannt.csv,vapor.csv,zscreen.csv,bacula.csv,rosegarden.csv,nicepress.csv,decidr.csv,gpac.csv,sylpheed-claws.csv,smarttag.csv,xemeiah.csv,omseek.csv,sigil.csv,img-browse-sort.csv,tango-cs.csv,nativeclient.csv
bacula.csv,0.63,0.08,0.57,0.62,0.4,0.46,0.54,0.7,0.51,0.55,0.65,0.7,0.59,0.42,0.67,0.26,0.7,0.48,0.53,0.45
decidr.csv,0.52,0.18,0.58,0.65,0.26,0.42,0.72,0.8,0.41,0.52,0.76,0.69,0.67,0.42,0.66,0.23,0.72,0.39,0.48,0.73
elmo.csv,0.41,0.2,0.23,0.52,0.42,0.36,0.42,0.24,0.28,0.25,0.5,0.29,0.31,0.43,0.15,0.23,0.37,0.41,0.24,0.44
gpac.csv,0.47,0.13,0.5,0.59,0.36,0.32,0.77,0.77,0.28,0.5,0.69,0.69,0.66,0.39,0.54,0.17,0.73,0.42,0.36,0.64
img-browse-sort.csv,0.69,0.13,0.57,0.69,0.43,0.44,0.71,0.62,0.57,0.59,0.69,0.6,0.46,0.42,0.66,0.26,0.83,0.69,0.48,0.4
jajuk.csv,0.62,0.18,0.56,0.78,0.34,0.46,0.64,0.79,0.51,0.63,0.71,0.67,0.68,0.42,0.61,0.23,0.71,0.45,0.56,0.64
ktc.csv,0.72,0.17,0.63,0.69,0.42,0.43,0.22,0.64,0.56,0.46,0.56,0.58,0.54,0.38,0.31,0.29,0.65,0.46,0.49,0.48
nativeclient.csv,0.68,0.15,0.62,0.71,0.31,0.41,0.72,0.68,0.54,0.47,0.68,0.58,0.49,0.41,0.59,0.24,0.83,0.54,0.5,0.7
neoengine.csv,0.6,0.14,0.64,0.72,0.35,0.42,0.63,0.81,0.45,0.59,0.72,0.72,0.71,0.47,0.38,0.26,0.71,0.47,0.51,0.74
nicepress.csv,0.57,0.2,0.56,0.62,0.36,0.38,0.53,0.79,0.56,0.72,0.72,0.68,0.66,0.32,0.62,0.26,0.7,0.38,0.54,0.65
omseek.csv,0.53,0.0,0.25,0.57,0.46,0.41,0.04,0.5,0.44,0.17,0.25,0.07,0.24,0.31,0.24,0.41,0.7,0.38,0.38,0.29
rosegarden.csv,0.67,0.15,0.58,0.71,0.32,0.43,0.47,0.63,0.62,0.54,0.61,0.63,0.47,0.24,0.44,0.26,0.78,0.5,0.52,0.66
sigil.csv,0.68,0.12,0.62,0.72,0.31,0.46,0.71,0.52,0.51,0.53,0.66,0.57,0.44,0.51,0.62,0.26,0.83,0.5,0.52,0.45
smarttag.csv,0.67,0.13,0.57,0.62,0.25,0.43,0.66,0.34,0.5,0.55,0.58,0.55,0.33,0.48,0.66,0.24,0.67,0.37,0.52,0.35
sylpheed-claws.csv,0.59,0.13,0.54,0.67,0.27,0.42,0.73,0.71,0.43,0.51,0.72,0.67,0.69,0.41,0.64,0.2,0.74,0.38,0.57,0.74
tango-cs.csv,0.58,0.09,0.56,0.6,0.24,0.47,0.75,0.68,0.45,0.52,0.7,0.69,0.66,0.38,0.69,0.23,0.67,0.3,0.57,0.63
vapor.csv,0.0,0.11,0.5,0.09,0.35,0.47,0.33,0.72,0.36,0.5,0.55,0.18,0.37,0.42,0.61,0.34,0.8,0.48,0.32,0.23
xemeiah.csv,0.61,0.12,0.56,0.62,0.44,0.39,0.5,0.68,0.49,0.58,0.72,0.7,0.66,0.41,0.75,0.3,0.73,0.44,0.56,0.31
zorannt.csv,0.48,0.19,0.31,0.61,0.5,0.3,0.66,0.56,0.29,0.29,0.49,0.69,0.56,0.38,0.37,0.28,0.65,0.41,0.49,0.4
zscreen.csv,0.64,0.15,0.53,0.64,0.35,0.49,0.82,0.15,0.48,0.5,0.66,0.2,0.24,0.36,0.59,0.28,0.76,0.36,0.49,0.32
