,pokeglobal.csv,robocode.csv,gogoego.csv,uwom-server.csv,algebsql.csv,jhotdraw.csv,autoopencas.csv,springside.csv,jam-daq.csv,trinitycore.csv
algebsql.csv,0.12,0.16,0.07,0.44,0.86,0.57,0.56,0.43,0.5,0.4
autoopencas.csv,0.4,0.4,0.29,0.47,0.56,0.38,0.75,0.31,0.09,0.48
gogoego.csv,0.58,0.55,0.52,0.6,0.6,0.42,0.09,0.77,0.52,0.61
jam-daq.csv,0.34,0.2,0.34,0.13,0.04,0.54,0.02,0.21,0.71,0.11
jhotdraw.csv,0.13,0.45,0.29,0.44,0.51,0.59,0.73,0.29,0.33,0.43
pokeglobal.csv,0.71,0.56,0.66,0.24,0.79,0.21,0.13,0.41,0.6,0.26
robocode.csv,0.54,0.71,0.66,0.63,0.24,0.5,0.47,0.46,0.55,0.63
springside.csv,0.5,0.64,0.41,0.69,0.73,0.6,0.66,0.77,0.54,0.68
trinitycore.csv,0.18,0.38,0.26,0.51,0.0,0.35,0.36,0.21,0.31,0.59
uwom-server.csv,0.18,0.39,0.27,0.61,0.04,0.43,0.39,0.21,0.5,0.62
