,pokeglobal.csv,robocode.csv,gogoego.csv,uwom-server.csv,algebsql.csv,jhotdraw.csv,autoopencas.csv,springside.csv,jam-daq.csv,trinitycore.csv
algebsql.csv,0.17,0.18,0.11,0.27,0.88,0.29,0.38,0.43,0.5,0.24
autoopencas.csv,0.49,0.37,0.22,0.3,0.55,0.25,0.65,0.24,0.12,0.3
gogoego.csv,0.62,0.57,0.42,0.41,0.66,0.24,0.09,0.62,0.52,0.41
jam-daq.csv,0.43,0.25,0.35,0.13,0.05,0.33,0.04,0.27,0.7,0.11
jhotdraw.csv,0.69,0.43,0.38,0.28,0.69,0.5,0.51,0.48,0.35,0.27
pokeglobal.csv,0.73,0.53,0.44,0.38,0.75,0.3,0.43,0.34,0.57,0.37
robocode.csv,0.58,0.7,0.45,0.47,0.25,0.3,0.34,0.36,0.63,0.47
springside.csv,0.58,0.61,0.4,0.45,0.7,0.33,0.45,0.65,0.52,0.45
trinitycore.csv,0.24,0.38,0.22,0.39,0.0,0.21,0.3,0.27,0.33,0.44
uwom-server.csv,0.24,0.4,0.25,0.44,0.06,0.29,0.29,0.27,0.51,0.44
