,pokeglobal.csv,robocode.csv,gogoego.csv,uwom-server.csv,algebsql.csv,jhotdraw.csv,autoopencas.csv,springside.csv,jam-daq.csv,trinitycore.csv
algebsql.csv,0.07,0.25,0.02,0.71,0.09,0.62,0.54,0.21,0.33,0.67
autoopencas.csv,0.79,0.57,0.34,0.56,0.57,0.31,0.18,0.57,0.06,0.62
gogoego.csv,0.34,0.25,0.28,0.46,0.74,0.83,0.19,0.57,0.31,0.47
jam-daq.csv,0.1,0.18,0.11,0.19,0.14,0.36,0.09,0.08,0.28,0.18
jhotdraw.csv,0.97,0.46,0.92,0.52,0.83,0.15,0.6,0.92,0.31,0.54
pokeglobal.csv,0.31,0.46,0.47,0.94,0.49,0.95,0.97,0.45,0.61,0.93
robocode.csv,0.45,0.25,0.51,0.34,0.46,0.38,0.45,0.52,0.78,0.33
springside.csv,0.21,0.39,0.87,0.55,0.54,0.72,0.53,0.33,0.43,0.56
trinitycore.csv,0.1,0.39,0.24,0.32,0.17,0.38,0.29,0.09,0.28,0.34
uwom-server.csv,0.1,0.32,0.19,0.39,0.06,0.28,0.41,0.09,0.31,0.38
