,pokeglobal.csv,robocode.csv,gogoego.csv,uwom-server.csv,algebsql.csv,jhotdraw.csv,autoopencas.csv,springside.csv,jam-daq.csv,trinitycore.csv
algebsql.csv,0.83,0.9,0.91,0.64,0.74,0.56,0.73,0.72,0.64,0.69
autoopencas.csv,0.61,0.8,0.73,0.73,0.7,0.92,0.76,0.84,0.83,0.69
gogoego.csv,0.45,0.47,0.6,0.43,0.44,0.36,0.85,0.41,0.51,0.43
jam-daq.csv,0.67,0.78,0.98,0.97,0.83,0.6,0.92,0.94,0.47,0.97
jhotdraw.csv,0.44,0.83,0.39,0.73,0.45,0.89,0.56,0.49,0.77,0.71
pokeglobal.csv,0.45,0.38,0.47,0.45,0.55,0.36,0.41,0.69,0.41,0.46
robocode.csv,0.57,0.48,0.47,0.49,0.52,0.56,0.36,0.75,0.39,0.49
springside.csv,0.48,0.38,0.39,0.45,0.47,0.34,0.37,0.42,0.4,0.45
trinitycore.csv,0.89,0.68,0.76,0.6,0.83,0.66,0.6,0.94,0.81,0.57
uwom-server.csv,0.89,0.65,0.75,0.51,0.67,0.63,0.48,0.89,0.53,0.51
