,wxcrp.csv,openmeetings.csv,jnode.csv,gnukeda.csv,etherboot.csv,aufs.csv,bdbbasic.csv,pgui.csv,google-gears.csv,bibletime.csv,crux-framework.csv
aufs.csv,0.33,0.74,0.7,0.4,0.49,0.96,0.42,0.27,0.36,0.26,0.66
bdbbasic.csv,0.61,0.69,0.75,0.59,0.56,0.62,1.0,0.69,0.61,0.46,0.62
bibletime.csv,0.52,0.77,0.48,0.67,0.64,0.46,0.34,0.33,0.7,1.0,0.24
crux-framework.csv,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,1.0
etherboot.csv,0.39,0.74,0.53,0.25,0.93,0.23,0.19,0.49,0.34,0.39,0.92
gnukeda.csv,0.58,0.61,0.57,1.0,0.41,0.66,0.59,0.67,0.54,0.48,0.48
google-gears.csv,0.58,0.67,0.53,0.64,0.59,0.39,0.73,0.53,0.98,0.7,0.91
jnode.csv,0.07,0.11,0.95,0.18,0.11,0.0,0.13,0.11,0.15,0.04,0.0
openmeetings.csv,0.46,1.0,0.35,0.3,0.51,0.67,0.47,0.42,0.34,0.48,0.37
pgui.csv,0.33,0.46,0.15,0.3,0.17,0.26,0.52,0.97,0.4,0.42,0.0
wxcrp.csv,0.84,0.5,0.75,0.25,0.31,0.47,0.3,0.51,0.21,0.11,0.59
