,wxcrp.csv,openmeetings.csv,jnode.csv,gnukeda.csv,etherboot.csv,aufs.csv,bdbbasic.csv,pgui.csv,google-gears.csv,bibletime.csv,crux-framework.csv
aufs.csv,0.28,0.26,0.06,0.64,0.45,1.0,0.64,0.44,0.84,0.71,0.05
bdbbasic.csv,0.4,0.3,0.06,0.84,0.29,0.43,0.95,0.35,0.86,0.9,0.03
bibletime.csv,0.3,0.21,0.04,0.65,0.31,0.35,0.28,0.28,0.86,1.0,0.03
crux-framework.csv,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
etherboot.csv,0.35,0.38,0.06,0.8,1.0,0.54,0.75,0.42,0.74,0.88,0.08
gnukeda.csv,0.31,0.17,0.04,1.0,0.26,0.38,0.37,0.38,0.76,0.79,0.02
google-gears.csv,0.31,0.23,0.06,0.69,0.3,0.23,0.38,0.26,1.0,0.87,0.08
jnode.csv,0.33,0.18,1.0,0.67,0.29,0.0,0.2,0.11,0.78,0.4,0.0
openmeetings.csv,0.36,1.0,0.06,0.91,0.29,0.53,0.89,0.37,0.85,0.91,0.03
pgui.csv,0.39,0.13,0.04,0.83,0.14,0.28,0.64,0.98,0.91,0.89,0.0
wxcrp.csv,1.0,0.34,0.06,0.89,0.33,0.5,0.83,0.46,0.88,1.0,0.03
