,wxcrp.csv,openmeetings.csv,jnode.csv,gnukeda.csv,etherboot.csv,aufs.csv,bdbbasic.csv,pgui.csv,google-gears.csv,bibletime.csv,crux-framework.csv
aufs.csv,0.29,0.39,0.12,0.46,0.45,0.97,0.47,0.31,0.47,0.34,0.09
bdbbasic.csv,0.48,0.42,0.12,0.66,0.39,0.51,0.97,0.49,0.7,0.58,0.07
bibletime.csv,0.43,0.35,0.08,0.68,0.44,0.51,0.42,0.44,0.78,1.0,0.06
crux-framework.csv,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.03,1.0
etherboot.csv,0.35,0.5,0.11,0.33,0.95,0.28,0.26,0.43,0.43,0.5,0.15
gnukeda.csv,0.42,0.29,0.08,1.0,0.4,0.5,0.45,0.5,0.64,0.67,0.04
google-gears.csv,0.42,0.35,0.11,0.67,0.41,0.32,0.52,0.37,0.99,0.85,0.14
jnode.csv,0.11,0.12,0.97,0.25,0.14,0.0,0.14,0.1,0.21,0.06,0.0
openmeetings.csv,0.39,1.0,0.11,0.4,0.37,0.59,0.57,0.37,0.44,0.59,0.05
pgui.csv,0.33,0.2,0.06,0.39,0.14,0.24,0.55,0.97,0.51,0.53,0.0
wxcrp.csv,0.89,0.39,0.12,0.33,0.3,0.46,0.4,0.46,0.3,0.17,0.06
