,reactos-mirror.csv,critterding.csv,badtrinity-zero.csv,xbplayer.csv,monetdb.csv,alpine.csv,quarkplayer.csv,gusanos.csv,modplug.csv,enzo.csv,elateportal.csv,sandiaportals.csv,biodwh.csv,factor.csv,miranda.csv
alpine.csv,0.97,0.8,0.96,0.7,0.93,0.91,0.84,0.83,0.75,0.0,0.69,0.5,0.92,0.9,0.81
badtrinity-zero.csv,0.58,0.5,0.56,0.88,0.43,0.51,0.46,0.76,0.49,0.94,0.35,0.75,0.46,0.48,0.33
biodwh.csv,0.98,0.9,0.61,0.97,0.44,0.43,0.48,0.5,0.51,0.58,0.67,0.83,0.92,0.48,0.96
critterding.csv,0.65,0.64,0.83,0.54,0.7,0.61,0.97,0.5,0.67,0.57,0.35,0.58,0.49,0.66,0.48
elateportal.csv,0.44,0.46,0.51,0.44,0.46,0.42,0.41,0.49,0.52,0.58,0.3,0.41,0.43,0.88,0.34
enzo.csv,0.36,0.43,0.43,0.37,0.37,0.34,0.39,0.38,0.38,0.38,0.3,0.38,0.33,0.4,0.32
factor.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.0
gusanos.csv,0.45,0.42,0.46,0.38,0.47,0.46,0.44,0.4,0.49,0.48,0.58,0.37,0.32,0.43,0.3
miranda.csv,0.53,0.89,0.69,0.44,0.43,0.71,0.61,0.93,0.41,0.71,0.5,0.52,0.86,0.5,0.4
modplug.csv,0.38,0.44,0.45,0.43,0.42,0.43,0.42,0.38,0.43,0.54,0.4,0.41,0.33,0.44,0.32
monetdb.csv,0.54,0.64,0.64,0.78,0.58,0.64,0.61,0.65,0.46,0.84,0.37,0.65,0.46,0.71,0.45
quarkplayer.csv,0.76,0.94,0.8,0.97,0.81,0.96,0.91,0.92,0.87,0.96,0.37,0.89,0.0,0.89,0.92
reactos-mirror.csv,0.63,0.52,0.46,0.61,0.4,0.61,0.48,0.42,0.45,0.53,0.3,0.39,0.37,0.41,0.35
sandiaportals.csv,0.54,0.49,0.53,0.44,0.46,0.6,0.62,0.42,0.67,0.49,0.43,0.43,0.37,0.46,0.37
xbplayer.csv,0.61,0.59,0.79,0.66,0.94,0.91,0.77,0.64,0.52,0.83,0.8,0.9,0.54,0.71,0.49
