,reactos-mirror.csv,critterding.csv,badtrinity-zero.csv,xbplayer.csv,monetdb.csv,alpine.csv,quarkplayer.csv,gusanos.csv,modplug.csv,enzo.csv,elateportal.csv,sandiaportals.csv,biodwh.csv,factor.csv,miranda.csv
alpine.csv,0.8,0.67,0.8,0.74,0.77,0.08,0.9,0.76,0.77,0.99,0.64,0.96,1.02,0.78,0.79
badtrinity-zero.csv,0.75,0.71,0.05,0.85,0.47,0.65,0.6,0.82,0.43,0.84,0.52,0.74,0.61,0.81,0.66
biodwh.csv,0.93,0.83,0.74,0.89,0.92,0.85,0.76,0.97,0.54,0.92,1.03,0.89,0.0,0.52,0.97
critterding.csv,0.69,0.03,0.72,0.63,0.78,0.9,0.66,0.7,0.62,0.64,0.69,0.54,0.44,0.54,0.67
elateportal.csv,0.88,0.93,0.68,0.84,0.71,0.75,0.74,0.8,0.74,0.87,0.0,0.89,0.92,1.02,0.86
enzo.csv,0.84,0.77,0.91,0.71,0.89,0.74,0.83,0.77,0.96,0.05,1.0,0.73,0.88,0.85,0.88
factor.csv,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.07,1.0
gusanos.csv,0.7,0.74,0.73,0.55,0.83,0.55,0.63,0.03,0.77,0.55,0.81,0.78,0.81,0.86,0.67
miranda.csv,0.61,0.77,0.68,0.49,0.59,0.71,0.52,0.79,0.48,0.76,0.95,0.68,0.77,1.0,0.04
modplug.csv,0.72,0.66,0.69,0.53,0.71,0.74,0.73,0.6,0.02,0.57,0.71,0.42,0.6,0.6,0.66
monetdb.csv,0.66,0.61,0.65,0.61,0.09,0.65,0.71,0.59,0.73,1.0,0.28,0.7,0.63,0.69,0.67
quarkplayer.csv,0.88,0.8,0.95,0.91,0.95,0.94,0.0,0.92,0.87,0.8,0.42,0.97,1.0,0.93,0.96
reactos-mirror.csv,0.03,0.63,0.74,0.64,0.62,0.69,0.88,0.78,0.67,0.54,1.0,1.0,0.86,1.0,0.82
sandiaportals.csv,0.67,0.74,0.7,0.8,0.78,0.61,0.5,0.84,0.63,0.63,0.74,0.04,0.69,0.55,0.74
xbplayer.csv,0.72,0.76,0.75,0.02,0.72,0.76,0.77,0.66,0.62,0.94,0.92,0.86,0.65,0.81,0.63
