,critterding.csv,firebird.csv,jcae.csv,nosleepsoftware.csv,hydrogen.csv,genecys.csv,monetdb.csv,riff-evolve.csv,mimosa.csv,alpine.csv,acdk.csv,quarkplayer.csv,zoolib.csv,virtuoso.csv,kftpgrabber.csv,xined.csv,openmsx.csv,fmri-dmt.csv,autowikibrowser.csv,libarchive.csv
acdk.csv,0.68,0.6,0.45,1.05,0.39,0.51,0.51,0.44,0.5,0.46,0.26,0.7,0.54,0.47,0.41,0.63,0.87,0.56,0.51,0.62
alpine.csv,1.0,0.61,0.52,1.05,0.81,1.0,0.6,0.8,1.0,0.4,0.71,0.8,0.6,0.97,0.35,1.0,0.71,0.93,0.73,1.0
autowikibrowser.csv,0.65,0.59,0.79,0.6,0.42,0.74,0.58,0.65,0.43,0.57,0.67,0.66,0.74,0.64,0.46,0.65,0.71,0.82,0.38,0.47
critterding.csv,0.5,0.67,1.0,0.87,0.86,0.56,0.85,0.78,1.0,0.87,0.81,0.89,0.93,0.81,0.85,0.81,0.73,0.94,0.9,0.81
firebird.csv,0.73,0.54,0.94,0.98,0.41,0.44,0.47,0.54,0.86,0.55,0.59,0.87,0.68,0.7,0.58,0.81,0.74,0.92,0.61,0.84
fmri-dmt.csv,0.88,0.85,0.62,1.06,1.03,0.75,0.86,0.63,0.48,0.91,1.06,0.76,0.77,0.86,0.99,0.68,0.77,0.22,0.97,1.0
genecys.csv,0.98,0.71,0.97,0.85,0.88,0.35,0.84,0.75,0.87,0.96,0.99,0.81,0.92,0.99,0.89,0.84,0.89,0.84,0.75,0.88
hydrogen.csv,0.82,1.0,1.0,1.0,0.23,0.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.54,1.0,1.0,1.0,1.0,1.0
jcae.csv,0.85,0.71,0.22,1.04,0.44,0.65,0.48,0.57,0.68,0.75,0.3,0.85,0.87,0.65,0.52,0.64,0.95,0.88,0.54,0.98
kftpgrabber.csv,0.61,0.75,0.79,1.0,0.84,0.89,0.47,0.87,0.9,0.75,0.62,0.75,0.97,0.74,0.28,0.73,0.82,0.98,0.64,0.92
libarchive.csv,0.72,0.61,0.92,0.6,0.43,0.61,0.71,0.68,0.93,0.58,0.34,0.55,0.79,0.66,0.52,0.82,0.67,0.84,0.49,0.43
mimosa.csv,0.88,0.96,0.54,0.89,0.91,1.01,0.75,0.58,0.34,0.73,0.41,0.95,0.97,0.62,0.74,0.91,0.73,0.75,0.96,0.91
monetdb.csv,0.71,0.55,0.28,0.88,0.58,0.64,0.39,0.72,0.94,0.53,0.42,0.86,0.89,0.41,0.5,0.4,0.88,0.84,0.66,0.86
nosleepsoftware.csv,0.85,0.73,1.0,0.36,1.0,0.99,0.88,0.99,1.0,0.7,1.0,1.0,0.86,1.0,1.0,1.0,0.85,1.0,0.7,0.92
openmsx.csv,0.69,0.89,0.91,0.84,0.92,1.0,0.98,0.85,0.95,0.79,1.0,0.74,0.67,0.98,0.88,0.96,0.57,0.54,0.74,0.85
quarkplayer.csv,0.88,0.9,0.86,1.01,0.98,0.96,0.99,0.94,0.64,0.93,0.95,0.39,0.94,0.93,0.92,0.97,0.91,0.66,0.81,0.85
riff-evolve.csv,0.62,0.6,0.69,1.06,0.4,0.46,0.5,0.4,0.67,0.58,0.3,0.6,0.81,0.53,0.45,0.61,0.76,0.63,0.49,0.64
virtuoso.csv,0.73,0.94,0.99,0.98,0.81,0.61,0.98,0.93,0.98,0.99,0.6,0.87,0.91,0.54,0.97,0.85,0.93,0.83,0.9,1.0
xined.csv,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.37,1.0,1.0,1.0,1.0
zoolib.csv,0.77,0.57,0.42,1.09,0.42,0.49,0.53,0.51,0.56,0.61,0.49,0.61,0.38,0.64,0.44,0.44,0.79,0.85,0.55,0.78
