,pustefix.csv,haggle.csv,mediate.csv,jgossipforum.csv,madman.csv,hannosset.csv,ngl.csv,jas.csv,coot.csv,synecdoche.csv,emono.csv
coot.csv,0.07,0.74,0.5,0.04,0.22,0.09,0.57,0.03,1.0,0.37,0.75
emono.csv,0.27,0.71,0.63,0.03,0.14,0.08,0.51,0.05,0.53,0.38,1.0
haggle.csv,0.3,0.99,0.4,0.04,0.0,0.05,0.74,0.0,0.52,0.0,0.0
hannosset.csv,0.0,0.0,0.0,0.08,0.0,1.0,0.0,0.0,0.0,0.0,1.0
jas.csv,0.37,0.5,0.36,0.07,0.04,0.06,0.54,1.0,0.36,0.38,0.59
jgossipforum.csv,0.0,1.0,0.0,1.0,0.5,0.0,0.67,0.0,0.33,0.0,0.0
madman.csv,0.0,0.86,0.69,0.0,1.0,0.0,0.83,0.0,1.0,0.5,0.6
mediate.csv,0.31,0.63,1.0,0.03,0.13,0.09,0.69,0.09,0.6,0.45,0.65
ngl.csv,0.3,0.73,0.6,0.04,0.19,0.11,0.98,0.08,0.61,0.47,0.66
pustefix.csv,1.0,0.5,0.73,0.04,0.22,0.0,0.65,0.11,0.75,0.23,0.5
synecdoche.csv,0.44,0.43,0.62,0.06,0.11,0.14,0.63,0.1,0.56,1.0,0.7
