,pustefix.csv,haggle.csv,mediate.csv,jgossipforum.csv,madman.csv,hannosset.csv,ngl.csv,jas.csv,coot.csv,synecdoche.csv,emono.csv
coot.csv,0.11,0.43,0.06,0.44,0.29,0.51,0.44,0.14,0.93,0.37,0.34
emono.csv,0.54,0.6,0.66,0.64,0.54,0.53,0.51,0.46,0.45,0.51,0.97
haggle.csv,0.53,1.0,0.06,0.44,0.0,0.35,0.44,0.0,0.54,0.0,0.0
hannosset.csv,0.0,0.0,0.0,0.24,0.0,0.86,0.0,0.0,0.0,0.0,0.05
jas.csv,0.34,0.27,0.16,0.24,0.14,0.2,0.42,1.0,0.34,0.41,0.42
jgossipforum.csv,0.0,0.05,0.0,0.83,0.15,0.0,0.02,0.0,0.06,0.0,0.0
madman.csv,0.0,0.1,0.27,0.0,0.9,0.0,0.12,0.0,0.02,0.04,0.05
mediate.csv,0.5,0.36,0.89,0.73,0.29,0.59,0.48,0.72,0.42,0.53,0.47
ngl.csv,0.53,0.59,0.6,0.61,0.7,0.63,0.99,0.42,0.65,0.5,0.51
pustefix.csv,0.97,0.06,0.32,0.76,0.29,0.0,0.13,0.76,0.43,0.12,0.11
synecdoche.csv,0.4,0.21,0.63,0.63,0.29,0.75,0.47,0.53,0.29,0.94,0.5
