,pustefix.csv,haggle.csv,mediate.csv,jgossipforum.csv,madman.csv,hannosset.csv,ngl.csv,jas.csv,coot.csv,synecdoche.csv,emono.csv
coot.csv,4.0,0.0,2.0,48.0,4.0,6.0,0.0,16.0,0.0,2.0,0.0
emono.csv,4.0,0.0,2.0,116.0,18.0,12.0,0.0,8.0,0.0,2.0,0.0
haggle.csv,3.0,0.0,0.0,33.0,56.0,2.0,0.0,124.0,2.0,71.0,121.0
hannosset.csv,84.0,114.0,68.0,11.0,56.0,0.0,367.0,124.0,76.0,71.0,0.0
jas.csv,2.0,0.0,1.0,10.0,22.0,4.0,0.0,0.0,1.0,0.0,0.0
jgossipforum.csv,84.0,0.0,68.0,0.0,1.0,74.0,0.0,124.0,2.0,71.0,121.0
madman.csv,84.0,1.0,1.0,224.0,0.0,74.0,0.0,124.0,0.0,0.0,2.0
mediate.csv,3.0,1.0,0.0,81.0,7.0,6.0,0.0,4.0,0.0,0.0,3.0
ngl.csv,9.0,0.0,0.0,63.0,21.0,8.0,0.0,16.0,0.0,3.0,0.0
pustefix.csv,0.0,3.0,3.0,100.0,5.0,74.0,1.0,10.0,0.0,5.0,1.0
synecdoche.csv,3.0,6.0,1.0,31.0,10.0,10.0,0.0,8.0,1.0,0.0,0.0
