,jmoney.csv,dxengine.csv,jsidplay2.csv,sblim.csv,piccolo2d.csv,jmonkeyengine.csv,e-bio-flow.csv,matrex.csv,reaper3d.csv
dxengine.csv,0.93,0.43,0.61,0.67,0.95,0.0,0.83,0.47,0.54
e-bio-flow.csv,0.83,0.88,0.56,0.63,0.44,0.61,0.45,0.86,0.45
jmoney.csv,0.38,0.37,0.39,0.4,0.36,0.62,0.33,0.95,0.42
jmonkeyengine.csv,0.68,0.42,0.72,0.56,0.6,0.74,0.46,0.72,0.44
jsidplay2.csv,0.55,0.94,0.39,0.94,0.43,0.42,0.76,0.46,0.67
matrex.csv,0.48,0.77,0.54,0.53,0.74,0.89,0.6,0.43,0.8
piccolo2d.csv,0.56,0.89,0.52,0.71,0.48,0.67,0.56,0.36,0.89
reaper3d.csv,0.52,0.39,0.43,0.51,0.61,0.64,0.5,0.54,0.47
sblim.csv,0.38,0.66,0.9,0.61,0.68,0.79,0.5,0.95,0.75
