,x4x.csv,xharbour.csv,megasquirtavr.csv,atomsite.csv,hazelcast.csv,emisview.csv,trackit.csv,betoffice.csv,jitterbit.csv,wxlua.csv,bnetd.csv,jppf-project.csv,bionote.csv,kolmafia.csv,findbugs.csv,qedo.csv,l2j.csv,jruby.csv,stajistics.csv,elvishrayrenderer.csv
atomsite.csv,0.2,0.18,0.24,0.15,0.17,0.16,0.27,0.24,0.25,0.11,0.18,0.24,0.23,0.19,0.18,0.4,0.26,0.18,0.31,0.17
betoffice.csv,0.3,0.31,0.43,0.4,0.37,0.26,0.39,0.34,0.21,0.5,0.41,0.3,0.3,0.35,0.27,0.41,0.37,0.43,0.43,0.35
bionote.csv,0.19,0.25,0.49,0.32,0.37,0.3,0.25,0.24,0.35,0.22,0.38,0.22,0.33,0.2,0.25,0.44,0.25,0.24,0.22,0.19
bnetd.csv,0.31,0.39,0.23,0.21,0.25,0.2,0.19,0.39,0.24,0.21,0.2,0.32,0.32,0.31,0.26,0.43,0.39,0.41,0.42,0.27
elvishrayrenderer.csv,0.19,0.33,0.49,0.29,0.28,0.2,0.14,0.32,0.18,0.45,0.23,0.23,0.25,0.24,0.26,0.15,0.17,0.2,0.2,0.33
emisview.csv,0.17,0.39,0.11,0.16,0.2,0.2,0.17,0.16,0.2,0.5,0.23,0.22,0.22,0.23,0.18,0.43,0.12,0.13,0.14,0.37
findbugs.csv,0.31,0.19,0.52,0.22,0.32,0.22,0.19,0.31,0.22,0.41,0.41,0.19,0.28,0.21,0.26,0.28,0.21,0.31,0.38,0.21
hazelcast.csv,0.2,0.19,0.13,0.22,0.29,0.26,0.2,0.23,0.27,0.18,0.19,0.28,0.32,0.27,0.21,0.19,0.17,0.23,0.24,0.19
jitterbit.csv,0.24,0.14,0.26,0.35,0.22,0.21,0.33,0.2,0.15,0.46,0.34,0.26,0.25,0.16,0.27,0.46,0.17,0.14,0.22,0.15
jppf-project.csv,0.33,0.39,0.53,0.38,0.38,0.3,0.39,0.39,0.36,0.5,0.42,0.33,0.35,0.31,0.3,0.45,0.38,0.44,0.35,0.37
jruby.csv,0.33,0.39,0.53,0.4,0.4,0.3,0.39,0.39,0.37,0.5,0.42,0.33,0.37,0.35,0.32,0.46,0.39,0.44,0.44,0.37
kolmafia.csv,0.33,0.39,0.53,0.34,0.23,0.28,0.31,0.39,0.25,0.29,0.39,0.29,0.33,0.2,0.3,0.41,0.36,0.44,0.28,0.33
l2j.csv,0.28,0.22,0.42,0.24,0.18,0.25,0.23,0.24,0.21,0.2,0.24,0.26,0.33,0.19,0.19,0.37,0.34,0.26,0.24,0.19
megasquirtavr.csv,0.33,0.39,0.42,0.4,0.35,0.3,0.31,0.29,0.29,0.5,0.42,0.33,0.37,0.34,0.27,0.44,0.36,0.43,0.3,0.37
qedo.csv,0.33,0.39,0.53,0.38,0.4,0.3,0.39,0.39,0.37,0.47,0.42,0.33,0.37,0.35,0.3,0.46,0.35,0.44,0.44,0.37
stajistics.csv,0.22,0.35,0.53,0.4,0.25,0.26,0.34,0.18,0.23,0.36,0.3,0.2,0.2,0.34,0.29,0.13,0.3,0.14,0.15,0.35
trackit.csv,0.3,0.38,0.35,0.4,0.34,0.3,0.34,0.3,0.33,0.5,0.42,0.32,0.33,0.35,0.3,0.39,0.35,0.29,0.37,0.37
wxlua.csv,0.33,0.39,0.52,0.4,0.37,0.3,0.39,0.39,0.37,0.5,0.42,0.33,0.37,0.35,0.32,0.46,0.39,0.43,0.44,0.37
x4x.csv,0.33,0.39,0.42,0.4,0.38,0.3,0.39,0.39,0.37,0.5,0.42,0.33,0.37,0.35,0.32,0.46,0.38,0.44,0.42,0.35
xharbour.csv,0.33,0.26,0.53,0.4,0.4,0.3,0.39,0.33,0.37,0.5,0.42,0.29,0.37,0.34,0.32,0.44,0.39,0.44,0.44,0.37
