,x4x.csv,xharbour.csv,megasquirtavr.csv,atomsite.csv,hazelcast.csv,emisview.csv,trackit.csv,betoffice.csv,jitterbit.csv,wxlua.csv,bnetd.csv,jppf-project.csv,bionote.csv,kolmafia.csv,findbugs.csv,qedo.csv,l2j.csv,jruby.csv,stajistics.csv,elvishrayrenderer.csv
atomsite.csv,0.65,0.51,0.53,0.65,0.72,0.8,0.77,0.74,0.55,0.86,0.45,0.89,0.79,0.68,0.93,1.01,0.73,0.8,0.85,0.6
betoffice.csv,0.56,0.7,0.7,0.83,0.96,0.87,0.95,0.64,0.92,0.72,0.76,0.86,0.99,0.92,0.82,0.61,0.75,0.66,0.88,0.81
bionote.csv,0.85,0.72,1.0,0.91,0.82,1.0,0.85,0.82,0.93,0.88,0.95,0.86,0.62,0.74,0.76,0.96,0.78,0.88,0.82,0.86
bnetd.csv,0.67,1.0,0.49,0.49,0.69,0.58,0.87,1.0,0.55,0.59,0.45,1.0,0.81,0.73,0.79,0.95,0.99,0.8,0.92,0.79
elvishrayrenderer.csv,0.71,0.8,0.95,0.74,0.38,0.36,0.88,0.93,0.77,0.89,0.61,0.98,0.53,0.62,0.84,0.82,0.67,0.8,0.44,0.57
emisview.csv,0.83,1.0,0.76,0.62,0.57,0.38,0.83,0.88,0.51,1.0,0.55,0.86,0.58,0.61,0.75,0.87,0.84,0.85,0.52,0.97
findbugs.csv,0.97,0.48,0.97,0.73,0.76,0.64,0.72,0.65,0.37,0.92,0.89,0.8,0.66,0.65,0.79,0.97,0.82,0.68,0.74,0.69
hazelcast.csv,0.87,0.49,0.45,0.62,0.2,0.93,0.64,0.69,0.81,0.66,0.52,0.75,0.91,0.77,0.86,0.7,0.64,0.8,0.56,0.66
jitterbit.csv,0.85,0.82,0.59,0.86,0.62,0.69,0.91,0.75,0.49,0.97,0.83,0.9,0.57,0.78,0.86,1.0,0.85,0.88,0.61,0.77
jppf-project.csv,0.84,1.0,1.0,0.97,0.9,0.98,0.96,0.98,0.99,0.88,1.01,0.63,0.88,0.85,0.86,0.93,0.74,1.0,0.8,0.98
jruby.csv,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
kolmafia.csv,1.0,1.0,0.99,0.77,0.51,0.93,0.9,1.0,0.63,0.81,0.71,0.76,0.82,0.33,0.91,0.89,0.7,1.0,0.78,0.84
l2j.csv,0.85,0.55,0.85,0.63,0.45,0.78,0.81,0.79,0.58,0.57,0.56,1.03,0.95,0.52,0.81,0.82,0.57,0.83,0.59,0.71
megasquirtavr.csv,0.92,1.0,0.75,1.0,0.6,1.0,0.75,0.78,0.82,1.0,1.0,1.0,1.01,0.97,0.94,0.95,0.87,0.95,0.7,1.0
qedo.csv,1.0,1.0,1.0,0.99,1.0,1.0,1.0,1.0,0.98,0.94,1.0,1.0,1.0,1.0,1.0,0.95,0.96,1.0,1.0,1.0
stajistics.csv,0.63,1.03,1.0,0.99,0.6,0.57,0.93,0.71,0.79,0.69,0.71,0.84,0.4,0.9,0.71,0.88,0.69,0.8,0.52,0.9
trackit.csv,0.92,0.92,0.77,0.96,0.51,1.0,0.76,0.87,0.86,1.0,1.0,1.0,0.75,0.98,0.92,0.83,0.82,0.82,0.76,0.95
wxlua.csv,0.67,0.95,0.89,1.0,1.06,1.0,0.88,0.91,1.0,1.0,1.0,1.0,1.0,1.0,0.81,0.93,0.99,0.8,0.94,1.0
x4x.csv,0.67,1.0,0.73,0.94,0.81,0.98,0.92,0.89,0.95,1.01,0.97,1.0,1.05,1.0,0.94,0.94,0.93,1.0,0.77,0.72
xharbour.csv,1.0,0.43,0.96,1.0,1.0,1.0,1.0,0.92,0.99,1.0,1.0,0.79,1.0,1.0,1.0,0.98,1.0,1.0,0.99,0.95
