,id,count_recall,count_precision,count_pf,cdom_score,bellwether
53,2,1,1,1,1,logicmail.csv
48,3,3,2,4,6,jedit.csv
46,4,1,7,15,18,icescrum.csv
54,5,3,2,3,5,springside.csv
21,6,1,13,18,18,jpaul.csv
16,7,2,3,14,14,haggle.csv
25,8,2,5,9,11,jmoney.csv
14,9,1,2,4,4,openefm.csv
15,11,1,1,1,0,atunes.csv
49,12,1,1,2,2,gpsmid.csv
55,14,2,3,2,2,nutz.csv
47,15,3,4,2,11,zealos.csv
18,16,1,4,11,10,aufs.csv
23,17,6,4,6,8,pcsx2.csv
13,18,1,4,7,6,xapian.csv
24,19,2,1,2,2,lmms.csv
12,20,1,1,4,3,xbg.csv
26,21,3,10,12,14,micomt.csv
56,22,2,8,14,16,cortex-vfx.csv
45,23,4,2,4,5,arcallians.csv
22,28,2,3,4,5,encog-java.csv
17,29,1,2,4,3,lamp.csv
36,30,1,10,17,15,algebsql.csv
31,31,3,6,11,12,galaxium.csv
5,32,1,9,13,17,ondex.csv
11,34,1,7,12,11,gbif-providertoolkit.csv
6,35,2,5,8,8,m-a-d-n-e-s-s.csv
30,36,1,8,16,17,smarttag.csv
37,37,2,10,14,18,acdk.csv
29,38,2,5,6,7,ardour.csv
38,39,3,3,2,5,mcmc-jags.csv
51,40,1,7,14,14,checker-framework.csv
43,41,1,2,8,6,k3d.csv
19,42,4,6,14,16,ossbuild.csv
28,43,2,2,9,9,adaptagrams.csv
27,44,2,11,15,18,mptvseries.csv
20,45,1,9,19,18,projecteqemu.csv
42,46,1,4,8,9,jstock.csv
52,47,1,6,16,15,biodwh.csv
44,48,1,8,14,13,maidsafe-dht.csv
50,49,1,2,4,3,tolven.csv
3,50,1,1,6,5,alpine.csv
8,51,1,7,13,12,netatalk.csv
35,53,1,7,14,12,crisscross.csv
34,54,3,3,7,11,chipster.csv
39,55,1,12,18,16,alembik.csv
7,56,3,2,4,6,blogentis.csv
4,57,1,3,9,8,jicarilla.csv
9,58,1,10,19,18,konversation.csv
1,59,1,3,5,4,roolo.csv
10,60,3,5,8,9,rockbox.csv
0,61,3,8,9,10,proftp.csv
33,62,2,10,20,17,lockss.csv
40,63,1,3,7,6,graphmak.csv
41,64,1,4,12,12,opensim4opencog.csv
32,65,1,1,2,1,tradelink.csv
2,66,1,7,14,12,gtad.csv
