,array4j.csv,sblim.csv,piccolo2d.csv,jbpm.csv,log4net.csv,pustefix.csv,jmonkeyengine.csv,e-bio-flow.csv,jgossipforum.csv,joustsim.csv,reaper3d.csv,ngl.csv,jas.csv
array4j.csv,0.93,0.73,0.47,0.65,0.81,0.67,0.46,0.82,0.91,0.6,0.85,0.92,0.62
e-bio-flow.csv,0.91,0.95,0.57,0.74,0.68,0.5,0.8,0.64,0.83,0.91,0.89,0.95,0.94
jas.csv,0.75,0.0,0.89,0.92,0.95,0.94,0.9,0.91,0.73,0.0,0.86,0.92,0.89
jbpm.csv,0.8,0.73,0.61,0.98,0.68,0.77,0.59,0.59,0.45,0.83,0.54,0.8,0.51
jgossipforum.csv,0.69,0.0,0.67,0.94,0.88,0.67,0.0,0.8,0.83,0.0,0.0,0.75,0.0
jmonkeyengine.csv,0.65,0.53,0.69,0.59,0.62,0.6,0.81,0.64,0.73,0.95,0.52,0.51,0.85
joustsim.csv,0.86,0.91,0.88,0.98,0.61,0.54,0.58,0.75,0.84,0.82,0.59,0.44,0.94
log4net.csv,0.0,0.0,0.5,0.8,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ngl.csv,0.42,0.6,0.47,0.48,0.55,0.45,0.43,0.39,0.93,0.47,0.49,0.56,0.6
piccolo2d.csv,0.94,0.81,0.92,0.97,0.92,0.75,0.8,0.93,0.97,0.75,0.8,0.95,0.86
pustefix.csv,0.67,0.61,0.78,0.84,0.72,0.77,0.93,0.89,0.98,0.0,0.91,0.91,0.71
reaper3d.csv,0.76,0.8,0.93,0.77,0.82,0.8,0.91,0.92,0.7,0.82,0.88,0.0,0.92
sblim.csv,0.8,0.82,0.91,0.97,0.87,0.5,0.86,0.88,0.98,0.0,0.5,0.95,0.95
