,array4j.csv,sblim.csv,piccolo2d.csv,jbpm.csv,log4net.csv,pustefix.csv,jmonkeyengine.csv,e-bio-flow.csv,jgossipforum.csv,joustsim.csv,reaper3d.csv,ngl.csv,jas.csv
array4j.csv,0.95,0.21,0.53,0.28,0.0,0.2,0.63,0.24,0.0,0.43,0.29,0.26,0.28
e-bio-flow.csv,0.14,0.27,0.64,0.24,0.37,0.05,0.26,0.94,0.0,0.11,0.15,0.07,0.0
jas.csv,0.0,0.0,0.36,0.07,0.38,0.2,0.07,0.12,0.45,0.0,0.15,0.32,1.0
jbpm.csv,0.35,0.51,0.26,0.97,0.35,0.43,0.38,0.55,0.24,0.21,0.37,0.41,0.78
jgossipforum.csv,0.07,0.0,0.0,0.1,0.38,0.0,0.0,0.09,1.0,0.11,0.15,0.02,0.0
jmonkeyengine.csv,0.33,0.7,0.4,0.55,0.54,0.56,0.91,0.41,0.23,0.11,0.62,0.64,0.14
joustsim.csv,0.0,0.21,0.1,0.29,0.0,0.43,0.59,0.24,0.45,1.0,0.52,0.6,0.29
log4net.csv,0.0,0.0,0.18,0.05,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ngl.csv,0.41,0.58,0.62,0.61,0.75,0.46,0.51,0.73,0.24,0.68,0.52,0.99,0.42
piccolo2d.csv,0.22,0.17,1.0,0.2,0.38,0.05,0.2,0.16,0.45,0.11,0.0,0.05,0.43
pustefix.csv,0.55,0.69,0.18,0.45,0.6,0.97,0.26,0.31,0.0,0.0,0.0,0.27,0.51
reaper3d.csv,0.28,0.52,0.35,0.42,0.36,0.05,0.37,0.24,0.61,0.4,1.0,0.0,0.15
sblim.csv,0.42,0.96,0.51,0.16,0.0,0.11,0.07,0.12,0.0,0.0,0.0,0.05,0.66
