,array4j.csv,sblim.csv,piccolo2d.csv,jbpm.csv,log4net.csv,pustefix.csv,jmonkeyengine.csv,e-bio-flow.csv,jgossipforum.csv,joustsim.csv,reaper3d.csv,ngl.csv,jas.csv
array4j.csv,0.94,0.18,0.54,0.25,0.0,0.17,0.67,0.2,0.0,0.45,0.25,0.23,0.25
e-bio-flow.csv,0.12,0.23,0.62,0.21,0.33,0.04,0.22,0.93,0.0,0.09,0.12,0.06,0.0
jas.csv,0.0,0.0,0.31,0.06,0.33,0.17,0.06,0.1,0.4,0.0,0.12,0.29,1.0
jbpm.csv,0.31,0.5,0.23,0.96,0.33,0.39,0.39,0.57,0.4,0.18,0.38,0.41,1.0
jgossipforum.csv,0.06,0.0,0.0,0.08,0.33,0.0,0.0,0.07,1.0,0.09,0.12,0.02,0.0
jmonkeyengine.csv,0.31,0.82,0.38,0.58,0.67,0.61,0.89,0.37,0.2,0.09,0.75,0.76,0.12
joustsim.csv,0.0,0.18,0.08,0.25,0.0,0.39,0.56,0.2,0.4,1.0,0.5,0.58,0.25
log4net.csv,0.0,0.0,0.15,0.04,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ngl.csv,0.38,0.64,0.69,0.63,1.0,0.43,0.5,0.83,0.2,0.73,0.5,0.99,0.38
piccolo2d.csv,0.19,0.14,1.0,0.17,0.33,0.04,0.17,0.13,0.4,0.09,0.0,0.04,0.38
pustefix.csv,0.56,0.73,0.15,0.42,0.67,0.96,0.22,0.27,0.0,0.0,0.0,0.23,0.5
reaper3d.csv,0.25,0.5,0.31,0.4,0.33,0.04,0.33,0.2,0.6,0.36,1.0,0.0,0.12
sblim.csv,0.38,0.95,0.46,0.13,0.0,0.09,0.06,0.1,0.0,0.0,0.0,0.04,0.62
