,array4j.csv,sblim.csv,piccolo2d.csv,jbpm.csv,log4net.csv,pustefix.csv,jmonkeyengine.csv,e-bio-flow.csv,jgossipforum.csv,joustsim.csv,reaper3d.csv,ngl.csv,jas.csv
array4j.csv,0.0,0.39,0.51,0.38,0.33,0.47,0.5,0.21,0.26,0.63,0.18,0.42,0.46
e-bio-flow.csv,0.14,0.17,0.27,0.41,0.25,0.02,0.02,0.0,0.31,0.17,0.08,0.04,0.15
jas.csv,0.06,0.01,0.06,0.03,0.15,0.21,0.18,0.15,0.19,0.0,0.06,0.41,0.01
jbpm.csv,0.24,0.44,0.52,0.0,0.57,0.27,0.64,0.52,0.91,0.35,0.68,0.6,0.58
jgossipforum.csv,0.24,0.0,0.04,0.03,0.05,0.05,0.0,0.06,0.0,0.0,0.0,0.0,0.01
jmonkeyengine.csv,0.56,0.55,0.49,0.55,0.69,0.58,0.0,0.33,0.33,0.32,0.63,0.6,0.32
joustsim.csv,0.22,0.08,0.09,0.13,0.37,0.24,0.28,0.19,0.16,0.0,0.35,0.32,0.13
log4net.csv,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0
ngl.csv,0.43,0.57,0.56,0.44,0.63,0.37,0.42,0.5,0.13,0.47,0.41,0.02,0.33
piccolo2d.csv,0.22,0.15,0.0,0.08,0.09,0.05,0.04,0.19,0.15,0.05,0.05,0.08,0.03
pustefix.csv,0.48,0.42,0.43,0.37,0.58,0.0,0.2,0.19,0.24,0.02,0.11,0.25,0.46
reaper3d.csv,0.46,0.36,0.3,0.49,0.45,0.06,0.32,0.12,0.35,0.3,0.0,0.0,0.09
sblim.csv,0.22,0.01,0.06,0.07,0.29,0.0,0.12,0.1,0.2,0.0,0.02,0.07,0.12
