,array4j.csv,sblim.csv,piccolo2d.csv,jbpm.csv,log4net.csv,pustefix.csv,jmonkeyengine.csv,e-bio-flow.csv,jgossipforum.csv,joustsim.csv,reaper3d.csv,ngl.csv,jas.csv
array4j.csv,0.0,27.0,29.0,53.0,133.0,18.0,0.0,4.0,224.0,26.0,14.0,0.0,1.0
e-bio-flow.csv,3.0,14.0,8.0,17.0,4.0,0.0,0.0,0.0,224.0,6.0,5.0,0.0,124.0
jas.csv,78.0,105.0,1.0,3.0,5.0,3.0,9.0,3.0,14.0,70.0,4.0,0.0,0.0
jbpm.csv,4.0,0.0,21.0,0.0,40.0,1.0,0.0,1.0,149.0,12.0,16.0,0.0,8.0
jgossipforum.csv,0.0,105.0,94.0,3.0,3.0,84.0,67.0,3.0,1.0,0.0,0.0,0.0,124.0
jmonkeyengine.csv,10.0,0.0,26.0,1.0,50.0,3.0,0.0,2.0,59.0,17.0,14.0,0.0,2.0
joustsim.csv,78.0,2.0,5.0,1.0,133.0,4.0,0.0,1.0,18.0,0.0,12.0,0.0,5.0
log4net.csv,78.0,105.0,0.0,0.0,0.0,84.0,67.0,81.0,224.0,70.0,107.0,367.0,124.0
ngl.csv,3.0,0.0,18.0,13.0,32.0,4.0,0.0,1.0,26.0,13.0,26.0,0.0,18.0
piccolo2d.csv,5.0,7.0,0.0,1.0,5.0,2.0,0.0,3.0,16.0,0.0,107.0,0.0,1.0
pustefix.csv,5.0,0.0,21.0,1.0,47.0,0.0,0.0,2.0,224.0,70.0,107.0,0.0,9.0
reaper3d.csv,9.0,0.0,16.0,1.0,54.0,2.0,0.0,2.0,47.0,9.0,0.0,367.0,1.0
sblim.csv,2.0,0.0,0.0,6.0,133.0,0.0,4.0,3.0,224.0,70.0,107.0,0.0,9.0
