,array4j.csv,sblim.csv,piccolo2d.csv,jbpm.csv,log4net.csv,pustefix.csv,jmonkeyengine.csv,e-bio-flow.csv,jgossipforum.csv,joustsim.csv,reaper3d.csv,ngl.csv,jas.csv
array4j.csv,0.97,0.14,0.23,0.12,0.0,0.14,0.44,0.26,0.0,0.19,0.14,0.29,0.06
e-bio-flow.csv,0.15,0.24,0.37,0.1,0.05,0.08,0.35,0.97,0.0,0.09,0.12,0.11,0.0
jas.csv,0.0,0.0,0.36,0.09,0.08,0.2,0.07,0.15,0.08,0.0,0.13,0.35,0.94
jbpm.csv,0.28,0.31,0.1,0.97,0.03,0.37,0.25,0.46,0.02,0.12,0.08,0.43,0.19
jgossipforum.csv,0.06,0.0,0.0,0.12,0.18,0.0,0.0,0.11,0.91,0.17,0.22,0.04,0.0
jmonkeyengine.csv,0.18,0.42,0.17,0.21,0.04,0.38,0.94,0.38,0.03,0.06,0.16,0.67,0.04
joustsim.csv,0.0,0.24,0.1,0.23,0.0,0.38,0.48,0.26,0.09,1.0,0.17,0.63,0.16
log4net.csv,0.0,0.0,0.27,0.07,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ngl.csv,0.24,0.33,0.26,0.26,0.07,0.36,0.37,0.62,0.06,0.34,0.15,0.98,0.12
piccolo2d.csv,0.18,0.16,1.0,0.2,0.12,0.07,0.26,0.18,0.1,0.13,0.0,0.07,0.4
pustefix.csv,0.33,0.44,0.08,0.2,0.05,0.98,0.25,0.33,0.0,0.0,0.0,0.32,0.12
reaper3d.csv,0.16,0.35,0.19,0.16,0.03,0.07,0.3,0.29,0.07,0.24,1.0,0.0,0.1
sblim.csv,0.33,0.95,0.5,0.16,0.0,0.16,0.08,0.16,0.0,0.0,0.0,0.07,0.37
