,qgo.csv,dynalloy.csv,firebird.csv,nosleepsoftware.csv,yield.csv,popeye-chess.csv,cities3d.csv,blue-c.csv,hydrogen.csv,openmalaria.csv,all-plasm.csv,xmoto.csv
all-plasm.csv,0.62,0.32,0.49,0.0,0.4,0.52,0.16,0.69,0.17,0.48,0.73,0.48
blue-c.csv,0.55,0.56,0.6,0.0,0.69,0.69,0.28,0.83,0.26,0.63,0.66,0.64
cities3d.csv,0.59,0.36,0.08,0.39,0.29,0.0,0.3,0.6,0.4,0.09,0.32,0.0
dynalloy.csv,0.55,0.71,0.47,0.0,0.68,0.58,0.19,0.59,0.24,0.52,0.65,0.46
firebird.csv,0.63,0.41,0.6,0.12,0.67,0.74,0.23,0.56,0.41,0.61,0.6,0.61
hydrogen.csv,0.63,0.54,0.69,0.41,0.67,0.61,0.17,0.71,0.61,0.0,0.31,0.64
nosleepsoftware.csv,0.44,0.0,0.35,0.56,0.11,0.0,0.05,0.06,0.0,0.16,0.0,0.14
openmalaria.csv,0.66,0.45,0.65,0.36,0.58,0.71,0.22,0.73,0.4,0.73,0.55,0.6
popeye-chess.csv,0.63,0.38,0.53,0.16,0.71,0.69,0.12,0.69,0.37,0.58,0.48,0.54
qgo.csv,0.85,0.36,0.66,0.41,0.6,0.56,0.16,0.57,0.35,0.65,0.44,0.62
xmoto.csv,0.32,0.43,0.55,0.24,0.68,0.72,0.19,0.6,0.33,0.63,0.38,0.75
yield.csv,0.63,0.54,0.68,0.38,0.75,0.74,0.16,0.74,0.3,0.66,0.55,0.66
