,qgo.csv,dynalloy.csv,firebird.csv,nosleepsoftware.csv,yield.csv,popeye-chess.csv,cities3d.csv,blue-c.csv,hydrogen.csv,openmalaria.csv,all-plasm.csv,xmoto.csv
all-plasm.csv,7.0,2.0,0.0,62.0,0.0,3.0,30.0,1.0,2.0,1.0,0.0,1.0
blue-c.csv,6.0,2.0,0.0,62.0,4.0,6.0,16.0,0.0,3.0,1.0,0.0,1.0
cities3d.csv,9.0,2.0,0.0,6.0,0.0,78.0,7.0,3.0,1.0,1.0,1.0,79.0
dynalloy.csv,5.0,1.0,0.0,62.0,3.0,7.0,30.0,0.0,5.0,3.0,2.0,1.0
firebird.csv,3.0,2.0,0.0,14.0,0.0,2.0,11.0,0.0,16.0,0.0,0.0,2.0
hydrogen.csv,11.0,2.0,0.0,1.0,7.0,12.0,32.0,2.0,0.0,92.0,0.0,1.0
nosleepsoftware.csv,2.0,142.0,3.0,8.0,1.0,78.0,81.0,1.0,115.0,2.0,50.0,4.0
openmalaria.csv,5.0,0.0,2.0,18.0,0.0,1.0,59.0,0.0,1.0,0.0,0.0,10.0
popeye-chess.csv,1.0,1.0,0.0,5.0,0.0,3.0,2.0,0.0,17.0,2.0,1.0,1.0
qgo.csv,0.0,3.0,0.0,0.0,1.0,16.0,33.0,10.0,13.0,2.0,0.0,0.0
xmoto.csv,2.0,6.0,0.0,21.0,0.0,3.0,24.0,0.0,10.0,6.0,5.0,1.0
yield.csv,2.0,2.0,0.0,12.0,0.0,2.0,42.0,0.0,19.0,2.0,2.0,1.0
