,qgo.csv,dynalloy.csv,firebird.csv,nosleepsoftware.csv,yield.csv,popeye-chess.csv,cities3d.csv,blue-c.csv,hydrogen.csv,openmalaria.csv,all-plasm.csv,xmoto.csv
all-plasm.csv,0.43,0.29,0.25,0.15,0.07,0.3,0.47,0.24,0.27,0.49,0.23,0.27
blue-c.csv,0.71,0.79,0.46,0.53,0.51,0.61,0.35,0.16,0.89,0.51,0.67,0.57
cities3d.csv,0.71,0.33,0.04,0.64,0.1,0.0,0.28,0.4,0.16,0.02,0.33,0.0
dynalloy.csv,0.57,0.22,0.39,0.49,0.49,0.7,0.68,0.04,0.89,0.8,0.47,0.55
firebird.csv,0.37,0.44,0.32,0.3,0.15,0.43,0.55,0.04,0.27,0.16,0.93,0.16
hydrogen.csv,1.0,0.99,1.0,1.0,0.9,1.0,0.75,1.0,0.16,0.0,0.03,0.93
nosleepsoftware.csv,0.14,0.01,0.18,0.26,0.04,0.02,0.22,0.12,0.01,0.06,0.07,0.11
openmalaria.csv,0.6,0.64,0.65,0.72,0.24,0.16,0.44,0.32,0.36,0.24,0.97,0.5
popeye-chess.csv,0.31,0.22,0.26,0.4,0.18,0.2,0.02,0.16,0.28,0.24,0.67,0.23
qgo.csv,0.14,0.63,0.84,0.74,0.44,0.84,0.91,0.8,0.46,0.84,0.83,0.8
xmoto.csv,0.06,0.43,0.36,0.62,0.37,0.39,0.38,0.28,0.44,0.29,0.3,0.27
yield.csv,0.63,0.95,0.47,0.57,0.21,0.45,0.97,0.24,0.64,0.53,0.9,0.48
