,psycle.csv,ildjit.csv,jfreereport.csv,enlightenment.csv,empserver.csv,pcsx2.csv,lufa-lib.csv,wxjs.csv,cortex-vfx.csv,ffigo.csv,wikipediardware.csv
cortex-vfx.csv,0.3,0.31,0.67,0.45,0.22,0.54,0.19,0.25,0.58,0.46,0.32
empserver.csv,0.4,0.45,0.87,0.29,0.64,0.5,0.42,1.0,0.86,0.74,0.18
enlightenment.csv,1.0,1.0,1.0,0.62,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ffigo.csv,0.23,0.07,0.26,0.0,0.0,0.06,0.01,0.0,0.31,0.67,0.0
ildjit.csv,0.45,0.72,0.15,0.24,0.44,0.17,0.04,0.0,0.69,0.24,0.32
jfreereport.csv,0.14,0.07,0.49,0.29,0.19,0.37,0.3,0.12,0.29,0.43,0.24
lufa-lib.csv,0.53,0.69,0.5,0.65,0.17,0.69,0.7,0.38,0.32,0.78,0.68
pcsx2.csv,0.52,0.17,0.66,0.59,0.72,0.73,0.8,0.0,0.99,0.21,0.53
psycle.csv,0.66,0.34,0.84,0.71,0.42,0.83,0.7,0.12,0.96,0.34,0.39
wikipediardware.csv,0.66,0.48,0.99,0.77,0.92,0.84,0.88,1.0,0.87,0.71,0.71
wxjs.csv,0.17,0.0,0.08,0.09,0.08,0.1,0.03,0.88,0.0,0.08,0.13
