,psycle.csv,ildjit.csv,jfreereport.csv,enlightenment.csv,empserver.csv,wxjs.csv,cortex-vfx.csv,ffigo.csv,mplayer-ce.csv,wikipediardware.csv
cortex-vfx.csv,0.74,0.67,0.57,0.56,0.82,0.68,0.68,0.45,0.55,0.62
empserver.csv,0.5,0.44,0.47,0.69,0.56,0.36,0.42,0.37,0.54,0.73
enlightenment.csv,0.47,0.4,0.42,0.48,0.41,0.39,0.42,0.38,0.37,0.42
ffigo.csv,0.56,0.7,0.81,0.0,0.5,0.83,0.86,0.41,0.84,0.5
ildjit.csv,0.79,0.94,0.83,0.99,0.71,0.86,0.46,0.95,0.37,0.89
jfreereport.csv,0.96,0.86,0.74,0.77,0.88,0.88,0.98,0.64,0.98,0.8
mplayer-ce.csv,0.5,0.45,0.43,0.53,0.43,0.39,0.44,0.39,0.54,0.53
psycle.csv,0.49,0.42,0.45,0.46,0.5,0.43,0.42,0.43,0.37,0.5
wikipediardware.csv,0.43,0.41,0.42,0.41,0.41,0.38,0.42,0.38,0.35,0.48
wxjs.csv,0.86,0.0,0.99,0.0,0.0,0.7,0.0,0.0,0.0,0.0
