,jahshakafx.csv,unladen-swallow.csv,plee-the-bear.csv,reaper-ecad.csv,nullc.csv,ns-3.csv,novembre.csv,vienna-add-in.csv,mptvseries.csv,sbml.csv,wow-qrsk.csv,mp-rechnungs-und-kundenverwaltung.csv,galaxium.csv,itext.csv,smartgwt.csv,fityk.csv,mecat.csv,kolmafia.csv,pixel-commandos.csv,quantlib.csv
fityk.csv,37.0,55.0,132.0,16.0,2.0,0.0,1.0,0.0,4.0,6.0,64.0,0.0,4.0,7.0,8.0,0.0,16.0,2.0,35.0,13.0
galaxium.csv,8.0,20.0,3.0,6.0,0.0,1.0,0.0,0.0,1.0,2.0,19.0,0.0,0.0,1.0,20.0,0.0,14.0,1.0,15.0,1.0
itext.csv,3.0,8.0,80.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,9.0,9.0,0.0,0.0,3.0,26.0,0.0,6.0,6.0
jahshakafx.csv,0.0,5.0,61.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,13.0,2.0,5.0,0.0,0.0,2.0,10.0,3.0,2.0,9.0
kolmafia.csv,1.0,5.0,81.0,7.0,0.0,2.0,0.0,1.0,4.0,0.0,5.0,1.0,5.0,1.0,1.0,0.0,20.0,0.0,94.0,1.0
mecat.csv,338.0,2958.0,553.0,189.0,60.0,222.0,54.0,123.0,49.0,107.0,938.0,148.0,121.0,63.0,387.0,65.0,0.0,85.0,94.0,118.0
mp-rechnungs-und-kundenverwaltung.csv,66.0,11.0,13.0,5.0,1.0,0.0,4.0,2.0,3.0,0.0,25.0,0.0,1.0,6.0,1.0,1.0,3.0,1.0,94.0,4.0
mptvseries.csv,3.0,1.0,52.0,2.0,0.0,1.0,2.0,0.0,0.0,5.0,2.0,7.0,3.0,1.0,6.0,0.0,2.0,5.0,11.0,18.0
novembre.csv,1.0,21.0,31.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,1.0,121.0,0.0,1.0,0.0,62.0,2.0,6.0,11.0
ns-3.csv,41.0,3.0,6.0,38.0,0.0,0.0,3.0,0.0,6.0,2.0,41.0,3.0,1.0,4.0,10.0,1.0,22.0,2.0,35.0,2.0
nullc.csv,50.0,2.0,53.0,80.0,0.0,0.0,5.0,0.0,1.0,1.0,53.0,1.0,16.0,3.0,1.0,0.0,7.0,3.0,41.0,1.0
pixel-commandos.csv,2.0,14.0,6.0,6.0,0.0,222.0,54.0,0.0,0.0,0.0,1.0,0.0,121.0,63.0,19.0,65.0,62.0,85.0,0.0,118.0
plee-the-bear.csv,1.0,2.0,0.0,189.0,0.0,1.0,8.0,0.0,4.0,1.0,78.0,0.0,2.0,5.0,2.0,0.0,46.0,2.0,94.0,2.0
quantlib.csv,6.0,2.0,70.0,42.0,0.0,2.0,3.0,0.0,1.0,1.0,4.0,0.0,6.0,1.0,0.0,0.0,26.0,3.0,23.0,0.0
reaper-ecad.csv,101.0,3.0,14.0,0.0,0.0,0.0,4.0,0.0,4.0,1.0,64.0,0.0,6.0,10.0,2.0,0.0,20.0,5.0,46.0,12.0
sbml.csv,66.0,1.0,43.0,66.0,1.0,0.0,3.0,0.0,4.0,0.0,9.0,1.0,0.0,0.0,5.0,0.0,22.0,1.0,9.0,2.0
smartgwt.csv,107.0,3.0,32.0,40.0,0.0,0.0,5.0,0.0,6.0,1.0,68.0,0.0,3.0,9.0,0.0,0.0,22.0,4.0,28.0,5.0
unladen-swallow.csv,11.0,0.0,46.0,51.0,1.0,0.0,3.0,0.0,6.0,0.0,94.0,0.0,6.0,10.0,10.0,0.0,13.0,5.0,94.0,3.0
vienna-add-in.csv,101.0,0.0,57.0,78.0,0.0,0.0,5.0,0.0,6.0,1.0,34.0,2.0,4.0,9.0,11.0,0.0,25.0,9.0,43.0,3.0
wow-qrsk.csv,7.0,3.0,25.0,0.0,0.0,1.0,6.0,3.0,2.0,1.0,0.0,1.0,4.0,0.0,0.0,1.0,62.0,3.0,7.0,118.0
