,jahshakafx.csv,unladen-swallow.csv,plee-the-bear.csv,reaper-ecad.csv,nullc.csv,ns-3.csv,novembre.csv,vienna-add-in.csv,mptvseries.csv,sbml.csv,wow-qrsk.csv,mp-rechnungs-und-kundenverwaltung.csv,galaxium.csv,itext.csv,smartgwt.csv,fityk.csv,mecat.csv,kolmafia.csv,pixel-commandos.csv,quantlib.csv
fityk.csv,0.82,0.56,0.51,0.47,0.67,0.59,0.52,0.51,0.62,0.49,0.65,0.46,0.59,0.49,0.74,0.44,0.36,0.35,0.68,0.59
galaxium.csv,0.61,0.52,0.96,0.9,0.86,0.97,0.65,0.69,0.83,0.92,0.67,0.55,0.6,0.41,0.55,0.88,0.48,0.47,0.89,0.94
itext.csv,0.39,0.42,0.47,0.56,0.43,0.43,0.34,0.36,0.64,0.38,0.42,0.4,0.4,0.44,0.4,0.36,0.36,0.47,0.49,0.47
jahshakafx.csv,0.5,0.69,0.87,0.94,0.58,0.97,0.67,0.86,0.83,0.68,0.92,0.6,0.92,0.7,0.97,0.88,0.75,0.9,0.88,0.8
kolmafia.csv,0.38,0.49,0.52,0.76,0.55,0.73,0.41,0.53,0.41,0.77,0.53,0.45,0.38,0.32,0.5,0.61,0.39,0.43,0.92,0.94
mecat.csv,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.0,0.0,0.0
mp-rechnungs-und-kundenverwaltung.csv,0.99,0.95,0.97,0.94,0.91,0.88,0.79,0.83,0.62,0.6,0.99,0.64,0.93,0.54,0.98,0.9,0.88,0.52,0.83,0.64
mptvseries.csv,0.43,0.52,0.59,0.7,0.59,0.61,0.45,0.82,0.58,0.62,0.53,0.93,0.73,0.88,0.5,0.65,0.88,0.62,0.64,0.45
novembre.csv,0.6,0.7,0.68,0.91,0.86,0.94,0.67,0.9,0.83,0.67,0.99,0.94,0.91,0.83,0.96,0.86,0.89,0.88,0.67,0.95
ns-3.csv,0.52,0.58,0.46,0.62,0.61,0.49,0.39,0.56,0.58,0.48,0.54,0.47,0.44,0.72,0.97,0.41,0.57,0.4,0.54,0.61
nullc.csv,0.43,0.5,0.42,0.53,0.46,0.42,0.36,0.39,0.38,0.39,0.45,0.35,0.39,0.41,0.72,0.35,0.37,0.39,0.45,0.37
pixel-commandos.csv,0.88,0.99,0.95,0.95,0.67,0.0,0.0,0.0,0.67,0.75,0.98,0.5,0.0,0.0,0.96,0.0,0.0,0.0,0.75,0.0
plee-the-bear.csv,0.89,0.84,0.96,0.0,0.91,0.96,0.89,0.97,0.67,0.96,0.99,0.48,0.96,0.56,0.8,0.0,0.43,0.72,0.93,0.7
quantlib.csv,0.97,0.74,0.69,0.72,0.7,0.74,0.5,0.77,0.75,0.61,0.99,0.49,0.91,0.7,0.96,0.82,0.36,0.94,0.64,0.96
reaper-ecad.csv,0.57,0.68,0.67,0.96,0.57,0.57,0.6,0.48,0.47,0.54,0.68,0.53,0.48,0.64,0.71,0.51,0.61,0.44,0.61,0.55
sbml.csv,0.5,0.49,0.48,0.53,0.39,0.45,0.36,0.38,0.46,0.39,0.45,0.4,0.42,0.36,0.29,0.35,0.4,0.5,0.43,0.42
smartgwt.csv,0.54,0.66,0.51,0.98,0.65,0.49,0.44,0.51,0.36,0.47,0.65,0.51,0.47,0.5,0.59,0.44,0.64,0.38,0.58,0.48
unladen-swallow.csv,0.98,1.0,0.62,0.85,0.79,0.64,0.6,0.72,0.57,0.55,0.95,0.56,0.58,0.49,0.65,0.92,0.65,0.45,0.63,0.51
vienna-add-in.csv,0.51,0.51,0.42,0.55,0.56,0.4,0.34,0.54,0.35,0.38,0.43,0.36,0.37,0.45,0.53,0.35,0.36,0.41,0.45,0.36
wow-qrsk.csv,0.62,0.62,0.66,0.78,0.89,0.82,0.86,0.71,0.73,0.7,0.85,0.88,0.57,0.5,0.81,0.9,0.88,0.51,0.81,0.88
