,jahshakafx.csv,unladen-swallow.csv,plee-the-bear.csv,reaper-ecad.csv,nullc.csv,ns-3.csv,novembre.csv,vienna-add-in.csv,mptvseries.csv,sbml.csv,wow-qrsk.csv,mp-rechnungs-und-kundenverwaltung.csv,galaxium.csv,itext.csv,smartgwt.csv,fityk.csv,mecat.csv,kolmafia.csv,pixel-commandos.csv,quantlib.csv
fityk.csv,0.28,0.27,0.11,0.34,0.48,0.57,0.37,0.45,0.33,0.6,0.26,0.44,0.32,0.61,0.48,0.99,0.12,0.7,0.05,0.29
galaxium.csv,0.37,0.3,0.21,0.3,0.21,0.26,0.25,0.5,0.24,0.3,0.26,0.51,0.94,0.66,0.6,0.23,0.14,0.65,0.09,0.29
itext.csv,0.6,0.3,0.15,0.47,0.75,0.62,0.38,0.57,0.42,0.78,0.39,0.47,0.59,0.97,0.69,0.72,0.1,0.61,0.19,0.36
jahshakafx.csv,0.98,0.32,0.17,0.1,0.35,0.28,0.37,0.11,0.16,0.42,0.44,0.44,0.13,0.45,0.29,0.23,0.13,0.25,0.17,0.09
kolmafia.csv,0.63,0.3,0.19,0.31,0.33,0.37,0.33,0.38,0.54,0.35,0.35,0.44,0.6,0.71,0.48,0.45,0.11,1.0,0.0,0.1
mecat.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
mp-rechnungs-und-kundenverwaltung.csv,0.11,0.25,0.17,0.14,0.3,0.45,0.24,0.3,0.31,0.57,0.2,0.98,0.16,0.58,0.24,0.26,0.18,0.49,0.0,0.32
mptvseries.csv,0.63,0.22,0.21,0.31,0.51,0.44,0.32,0.32,1.0,0.51,0.43,0.16,0.56,0.24,0.49,0.44,0.36,0.45,0.21,0.24
novembre.csv,0.51,0.28,0.23,0.26,0.25,0.32,1.0,0.13,0.4,0.47,0.43,0.19,0.0,0.25,0.24,0.2,0.0,0.37,0.27,0.09
ns-3.csv,0.51,0.25,0.17,0.23,0.56,0.99,0.43,0.42,0.42,0.61,0.43,0.45,0.52,0.44,0.05,0.61,0.06,0.73,0.1,0.29
nullc.csv,0.55,0.2,0.11,0.23,1.0,0.72,0.44,0.54,0.59,0.82,0.35,0.52,0.51,0.7,0.36,0.79,0.16,0.71,0.09,0.31
pixel-commandos.csv,0.11,0.11,0.15,0.22,0.08,0.0,0.0,0.02,0.27,0.1,0.32,0.04,0.0,0.0,0.04,0.0,0.0,0.0,1.0,0.0
plee-the-bear.csv,0.12,0.14,0.92,0.0,0.26,0.31,0.08,0.39,0.32,0.27,0.13,0.39,0.2,0.59,0.06,0.04,0.04,0.44,0.0,0.26
quantlib.csv,0.27,0.17,0.19,0.27,0.6,0.38,0.24,0.39,0.17,0.53,0.36,0.42,0.29,0.48,0.25,0.39,0.1,0.28,0.06,0.94
reaper-ecad.csv,0.45,0.18,0.18,1.0,0.72,0.67,0.46,0.72,0.49,0.62,0.32,0.42,0.34,0.5,0.2,0.64,0.06,0.58,0.03,0.22
sbml.csv,0.52,0.24,0.14,0.24,0.55,0.57,0.47,0.61,0.42,1.0,0.32,0.43,0.5,0.66,0.53,0.76,0.11,0.62,0.16,0.33
smartgwt.csv,0.39,0.19,0.15,0.06,0.69,0.72,0.41,0.75,0.55,0.67,0.35,0.55,0.51,0.68,0.98,0.69,0.07,0.7,0.06,0.38
unladen-swallow.csv,0.28,0.7,0.08,0.09,0.51,0.59,0.4,0.52,0.33,0.58,0.12,0.38,0.21,0.61,0.21,0.29,0.07,0.61,0.0,0.38
vienna-add-in.csv,0.43,0.21,0.09,0.22,0.67,0.78,0.44,0.98,0.57,0.81,0.34,0.48,0.5,0.68,0.35,0.8,0.1,0.6,0.09,0.35
wow-qrsk.csv,0.46,0.32,0.27,0.35,0.31,0.39,0.09,0.32,0.47,0.45,0.96,0.51,0.5,0.59,0.57,0.41,0.0,0.54,0.2,0.0
