,jahshakafx.csv,unladen-swallow.csv,plee-the-bear.csv,reaper-ecad.csv,nullc.csv,ns-3.csv,novembre.csv,vienna-add-in.csv,mptvseries.csv,sbml.csv,wow-qrsk.csv,mp-rechnungs-und-kundenverwaltung.csv,galaxium.csv,itext.csv,smartgwt.csv,fityk.csv,mecat.csv,kolmafia.csv,pixel-commandos.csv,quantlib.csv
fityk.csv,0.24,0.34,0.57,0.44,0.36,0.43,0.4,0.46,0.55,0.53,0.42,0.54,0.49,0.6,0.07,0.0,0.73,0.62,0.4,0.42
galaxium.csv,0.21,0.27,0.03,0.13,0.09,0.11,0.32,0.15,0.1,0.31,0.23,0.23,0.02,0.23,0.12,0.09,0.38,0.13,0.19,0.13
itext.csv,0.34,0.43,0.48,0.2,0.0,0.51,0.7,0.49,0.23,0.47,0.46,0.53,0.34,0.0,0.17,0.73,0.57,0.21,0.38,0.41
jahshakafx.csv,0.0,0.15,0.16,0.09,0.09,0.07,0.18,0.05,0.13,0.12,0.08,0.23,0.1,0.0,0.05,0.09,0.18,0.08,0.08,0.19
kolmafia.csv,0.28,0.3,0.42,0.15,0.09,0.16,0.5,0.24,0.52,0.16,0.29,0.54,0.4,0.33,0.18,0.18,0.52,0.0,0.14,0.15
mecat.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mp-rechnungs-und-kundenverwaltung.csv,0.34,0.11,0.06,0.09,0.18,0.27,0.38,0.17,0.26,0.66,0.11,0.0,0.11,0.5,0.14,0.14,0.12,0.31,0.07,0.35
mptvseries.csv,0.25,0.82,0.3,0.21,0.0,0.23,0.4,0.12,0.0,0.44,0.25,0.09,0.1,0.1,0.22,0.27,0.1,0.21,0.24,0.67
novembre.csv,0.14,0.21,0.21,0.1,0.0,0.05,0.0,0.1,0.03,0.09,0.07,0.1,0.13,0.03,0.03,0.09,0.15,0.13,0.16,0.18
ns-3.csv,0.47,0.42,0.52,0.57,0.55,0.03,0.72,0.44,0.48,0.41,0.37,0.53,0.52,0.4,0.09,0.77,0.48,0.41,0.58,0.36
nullc.csv,0.69,0.93,0.94,0.99,0.0,0.79,0.95,0.54,0.71,0.94,0.72,0.63,0.61,0.67,0.12,1.0,0.53,0.46,0.9,0.88
pixel-commandos.csv,0.01,0.04,0.03,0.1,0.09,0.0,0.02,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.01
plee-the-bear.csv,0.01,0.4,0.0,0.0,0.27,0.32,0.2,0.27,0.39,0.38,0.18,0.75,0.23,0.47,0.01,0.0,0.8,0.23,0.16,0.37
quantlib.csv,0.08,0.44,0.28,0.48,0.36,0.16,0.52,0.2,0.06,0.38,0.08,0.72,0.28,0.23,0.04,0.41,0.93,0.21,0.3,0.01
reaper-ecad.csv,0.8,0.67,0.34,0.0,0.82,0.63,0.3,0.9,0.68,0.44,0.52,0.58,0.72,0.77,0.88,0.5,0.53,0.82,0.58,0.58
sbml.csv,0.56,0.65,0.74,0.88,0.27,0.47,0.75,0.71,0.48,0.0,0.67,0.53,0.49,0.37,0.36,0.59,0.55,0.23,0.47,0.65
smartgwt.csv,0.91,0.63,0.56,0.26,0.64,0.64,0.6,0.61,0.94,0.66,0.54,0.4,0.41,0.67,0.0,0.59,0.4,0.67,0.63,0.61
unladen-swallow.csv,0.12,0.02,0.6,0.5,0.73,0.61,0.42,0.56,0.71,0.75,0.32,0.53,0.67,0.93,0.69,0.18,0.42,0.79,0.68,0.56
vienna-add-in.csv,0.95,0.89,0.95,0.96,0.64,0.97,0.95,0.02,0.94,0.97,0.86,0.89,0.75,0.93,0.8,1.0,0.93,0.82,0.93,0.94
wow-qrsk.csv,0.17,0.2,0.19,0.11,0.0,0.09,0.15,0.17,0.13,0.12,0.0,0.12,0.36,0.13,0.03,0.32,0.13,0.51,0.15,0.08
