,arcallians.csv,aztec.csv,synergyspace.csv,qmmp.csv,xtreemfs.csv,mplayer-ce.csv
arcallians.csv,0.98,0.17,0.4,0.5,0.87,0.61
aztec.csv,0.61,1.0,0.27,0.33,0.3,0.2
mplayer-ce.csv,0.59,0.12,0.39,0.51,0.49,0.97
qmmp.csv,0.45,0.27,0.29,0.97,0.86,0.1
synergyspace.csv,0.37,0.15,0.98,0.32,0.48,0.48
xtreemfs.csv,0.2,0.11,0.23,0.39,0.99,0.43
