,psycle.csv,ildjit.csv,jfreereport.csv,enlightenment.csv,empserver.csv,pcsx2.csv,lufa-lib.csv,cortex-vfx.csv,wikipediardware.csv
cortex-vfx.csv,0.44,0.21,0.25,0.42,0.61,0.31,0.34,0.97,0.32
empserver.csv,0.16,0.17,0.34,0.22,0.86,0.17,0.34,0.4,0.32
enlightenment.csv,0.47,0.14,0.71,0.98,0.5,0.56,0.32,0.68,0.42
ildjit.csv,0.04,1.0,0.06,0.01,0.08,0.03,0.01,0.1,0.0
jfreereport.csv,0.53,0.97,0.91,0.6,0.47,0.28,0.51,0.16,0.39
lufa-lib.csv,0.59,0.31,0.38,0.51,0.25,0.48,0.93,0.38,0.32
pcsx2.csv,0.66,0.66,0.84,0.84,0.94,0.98,1.0,0.9,0.92
psycle.csv,0.97,0.48,0.97,0.56,0.44,0.85,0.73,0.94,0.32
wikipediardware.csv,0.67,0.55,0.97,0.84,0.64,0.85,0.92,0.99,0.97
