,flylinkdc.csv,xbrlapi.csv,vdsf.csv,n2cms.csv,nuttx.csv,maidsafe-dht.csv,dvt.csv,codeblocks.csv,rtb-team.csv,ldview.csv,bulmages.csv,ctrlr.csv,kowari.csv,super-tux.csv
bulmages.csv,0.32,0.0,0.0,0.78,0.0,0.26,0.22,0.0,0.0,0.6,0.31,0.0,0.12,1.0
codeblocks.csv,0.39,0.5,0.1,0.64,0.91,0.28,0.33,0.84,0.0,0.35,0.17,0.33,0.21,0.98
ctrlr.csv,0.12,0.58,0.0,0.38,0.6,0.13,0.17,0.5,0.18,0.45,0.21,0.5,0.0,0.85
dvt.csv,0.29,0.43,0.13,0.31,0.0,0.1,0.49,0.78,0.6,0.28,0.24,0.42,0.0,0.97
flylinkdc.csv,0.53,0.49,0.07,0.41,0.83,0.25,0.29,0.87,0.3,0.42,0.24,0.28,0.08,0.98
kowari.csv,0.64,0.44,0.33,0.38,0.8,0.27,0.29,0.75,0.26,0.37,0.35,0.25,0.2,0.98
ldview.csv,0.27,0.51,0.09,0.45,0.82,0.19,0.29,0.78,0.0,0.62,0.23,0.33,0.09,0.97
maidsafe-dht.csv,0.47,0.6,0.09,0.5,0.82,0.43,0.37,0.77,0.29,0.42,0.18,0.16,0.1,0.97
n2cms.csv,0.32,0.57,0.14,0.65,0.81,0.28,0.4,0.89,0.64,0.45,0.26,0.18,0.11,0.98
nuttx.csv,0.54,0.64,0.32,0.75,0.87,0.44,0.2,0.88,0.33,0.47,0.33,0.38,0.17,0.97
rtb-team.csv,0.6,0.72,0.0,0.48,0.0,0.31,0.38,1.0,0.57,0.25,0.29,0.12,0.07,0.93
super-tux.csv,0.26,0.41,0.13,0.4,0.79,0.23,0.32,0.76,0.45,0.38,0.22,0.25,0.16,1.0
vdsf.csv,0.22,0.57,0.21,0.43,0.78,0.18,0.3,0.76,0.29,0.38,0.21,0.16,0.04,0.95
xbrlapi.csv,0.29,0.69,1.0,0.43,0.5,0.17,0.19,0.6,0.26,0.33,0.23,0.31,0.03,1.0
