,flylinkdc.csv,xbrlapi.csv,vdsf.csv,n2cms.csv,nuttx.csv,maidsafe-dht.csv,dvt.csv,codeblocks.csv,rtb-team.csv,ldview.csv,bulmages.csv,ctrlr.csv,kowari.csv,super-tux.csv
bulmages.csv,0.25,0.08,0.0,0.03,0.0,0.47,0.31,0.0,0.0,0.11,0.48,0.0,0.56,0.0
codeblocks.csv,0.19,0.32,0.44,0.07,0.21,0.35,0.2,0.46,0.08,0.89,0.06,0.59,0.19,0.2
ctrlr.csv,0.35,0.25,0.0,0.54,0.05,0.22,0.51,0.18,0.38,0.16,0.24,0.27,0.08,0.6
dvt.csv,0.65,0.65,0.17,0.49,0.0,0.45,0.31,0.51,0.05,0.62,0.48,0.36,0.05,0.2
flylinkdc.csv,0.23,0.85,0.94,0.82,0.62,0.5,0.91,0.18,0.86,0.38,0.51,0.71,1.0,0.2
kowari.csv,0.05,0.25,0.0,0.38,0.28,0.27,0.15,0.33,0.7,0.78,0.14,0.85,0.26,0.2
ldview.csv,0.94,0.42,1.0,0.49,0.97,0.97,0.35,0.13,0.08,0.3,0.82,0.07,0.79,0.4
maidsafe-dht.csv,0.1,0.3,1.0,0.22,0.95,0.2,0.34,0.79,1.0,0.3,0.11,0.69,0.56,0.2
n2cms.csv,0.66,0.57,0.39,0.26,0.28,0.38,0.33,0.13,0.14,0.32,0.54,0.31,0.62,0.2
nuttx.csv,0.17,0.1,0.01,0.03,0.49,0.08,0.16,0.23,0.16,0.27,0.1,0.14,0.13,0.2
rtb-team.csv,0.08,0.12,0.0,0.45,0.0,0.18,0.18,0.0,0.24,0.08,0.36,0.12,0.35,0.2
super-tux.csv,0.93,0.57,0.4,0.35,0.97,0.67,0.34,0.85,0.16,0.86,0.7,0.85,0.35,0.0
vdsf.csv,0.81,0.68,0.13,0.68,0.95,0.85,0.73,0.79,1.0,0.57,0.89,0.78,0.96,0.8
xbrlapi.csv,0.12,0.35,0.0,0.39,0.1,0.32,0.46,0.05,0.68,0.05,0.3,0.19,0.74,0.0
