,flylinkdc.csv,xbrlapi.csv,vdsf.csv,n2cms.csv,nuttx.csv,maidsafe-dht.csv,dvt.csv,codeblocks.csv,rtb-team.csv,ldview.csv,bulmages.csv,ctrlr.csv,kowari.csv,super-tux.csv
bulmages.csv,0.72,1.0,1.0,0.85,1.0,0.55,0.84,1.0,1.0,0.72,0.51,1.0,0.58,0.79
codeblocks.csv,0.7,0.76,0.66,0.82,0.61,0.55,0.79,0.5,1.0,0.9,0.95,0.62,0.47,0.41
ctrlr.csv,0.93,0.71,1.0,0.74,0.99,0.88,0.9,0.96,0.88,0.78,0.8,0.36,1.0,1.02
dvt.csv,0.71,0.83,0.75,0.83,1.0,0.91,0.42,0.63,0.8,0.84,0.64,0.46,1.0,0.7
flylinkdc.csv,0.38,0.88,0.97,0.83,0.72,0.58,0.92,0.64,0.87,0.65,0.64,0.75,1.0,0.51
kowari.csv,0.76,0.85,0.99,0.75,0.81,0.63,0.87,0.74,0.81,0.81,0.73,0.87,0.38,0.61
ldview.csv,0.94,0.71,1.0,0.63,0.98,0.97,0.75,0.85,1.0,0.33,0.83,0.91,0.81,0.48
maidsafe-dht.csv,0.76,0.65,1.0,0.7,0.95,0.41,0.62,0.8,1.0,0.69,0.91,0.93,0.63,0.72
n2cms.csv,0.68,0.63,0.51,0.36,0.8,0.52,0.58,0.68,0.42,0.62,0.61,0.87,0.63,0.63
nuttx.csv,0.49,0.84,0.95,0.88,0.57,0.72,0.92,0.51,0.82,0.63,0.82,0.77,0.73,0.72
rtb-team.csv,0.68,0.7,1.0,0.57,1.0,0.67,0.76,0.84,0.31,0.96,0.56,0.96,0.79,0.89
super-tux.csv,0.94,0.84,0.55,0.74,1.0,0.68,0.7,0.85,0.69,0.87,0.74,0.87,0.45,0.09
vdsf.csv,0.89,0.69,0.65,0.71,1.0,0.88,0.77,0.81,1.0,0.68,0.89,0.97,1.12,0.83
xbrlapi.csv,0.87,0.44,0.99,0.67,0.98,0.78,0.87,0.98,0.79,0.95,0.73,0.78,1.03,0.97
