,kmatplot.csv,dynalloy.csv,jcae.csv,nosleepsoftware.csv,popeye-chess.csv,blue-c.csv,mscore.csv,openmalaria.csv,riff-evolve.csv,archive-crawler.csv,all-plasm.csv,virtuoso.csv,biodwh.csv
all-plasm.csv,0.49,0.51,0.7,0.0,0.72,0.82,0.21,0.57,0.58,0.64,0.76,0.23,0.38
archive-crawler.csv,0.09,0.16,0.38,0.07,0.11,0.7,0.27,0.2,0.46,0.53,0.42,0.23,0.2
biodwh.csv,0.04,0.0,0.13,0.0,0.13,0.0,0.1,0.0,0.04,0.2,0.06,0.52,0.2
blue-c.csv,0.47,0.59,0.66,0.0,0.76,0.87,0.62,0.68,0.55,0.66,0.75,0.52,0.51
dynalloy.csv,0.54,0.55,0.0,0.0,0.66,0.24,0.3,0.41,0.48,0.33,0.59,0.39,0.37
jcae.csv,0.09,0.02,0.13,0.0,0.13,0.48,0.05,0.25,0.34,0.52,0.53,0.25,0.2
kmatplot.csv,0.43,0.38,0.65,0.24,0.0,0.68,0.37,0.25,0.35,0.6,0.52,0.23,0.55
mscore.csv,0.69,0.05,0.0,0.48,0.81,0.7,0.75,0.77,0.63,0.44,0.27,0.0,0.13
nosleepsoftware.csv,0.12,0.02,0.26,0.55,0.0,0.0,0.07,0.06,0.09,0.0,0.0,0.0,0.37
openmalaria.csv,0.7,0.6,0.3,0.47,0.64,0.71,0.73,0.72,0.66,0.61,0.35,0.55,0.47
popeye-chess.csv,0.53,0.42,0.43,0.22,0.67,0.64,0.47,0.52,0.33,0.57,0.46,0.61,0.2
riff-evolve.csv,0.67,0.47,0.74,0.0,0.66,0.42,0.46,0.38,0.68,0.43,0.53,0.75,0.71
virtuoso.csv,0.24,0.18,0.26,0.0,0.55,0.0,0.2,0.15,0.34,0.46,0.5,0.43,0.37
