,gtad.csv,wgs-assembler.csv,nh3d.csv,jvcl.csv,kaffeine.csv,sarasvati.csv,blogentis.csv,m-m-m.csv,taokgame.csv,scen-connect.csv,htmlunit.csv,myfaces.csv,jaxlib.csv,anaxagora.csv,ipfire-wall.csv,jasperreports.csv,irplus.csv,smartgwt.csv,poormans.csv,free-evolution.csv
anaxagora.csv,72.0,0.0,13.0,158.0,0.0,169.0,3.0,1.0,1.0,33.0,0.0,2.0,4.0,0.0,0.0,27.0,68.0,1.0,8.0,2.0
blogentis.csv,25.0,3.0,0.0,4.0,0.0,28.0,0.0,0.0,2.0,32.0,3.0,9.0,11.0,0.0,54.0,48.0,0.0,20.0,15.0,10.0
free-evolution.csv,72.0,5.0,20.0,4.0,0.0,16.0,5.0,0.0,2.0,61.0,7.0,11.0,16.0,6.0,2.0,68.0,0.0,3.0,2.0,0.0
gtad.csv,0.0,0.0,355.0,3.0,0.0,0.0,0.0,1.0,91.0,61.0,0.0,0.0,49.0,1.0,0.0,2.0,1.0,1.0,0.0,2.0
htmlunit.csv,13.0,2.0,51.0,2.0,0.0,8.0,2.0,0.0,9.0,61.0,0.0,13.0,5.0,0.0,7.0,10.0,0.0,3.0,4.0,4.0
ipfire-wall.csv,14.0,2.0,48.0,3.0,0.0,10.0,1.0,0.0,91.0,1.0,10.0,24.0,49.0,9.0,0.0,86.0,7.0,4.0,7.0,6.0
irplus.csv,72.0,0.0,6.0,21.0,0.0,42.0,2.0,0.0,91.0,7.0,8.0,24.0,49.0,7.0,3.0,153.0,0.0,2.0,20.0,1.0
jasperreports.csv,72.0,2.0,355.0,158.0,59.0,2.0,92.0,60.0,91.0,61.0,0.0,1.0,49.0,128.0,54.0,0.0,68.0,0.0,0.0,139.0
jaxlib.csv,72.0,108.0,355.0,158.0,59.0,169.0,0.0,0.0,91.0,61.0,276.0,350.0,0.0,128.0,54.0,5.0,68.0,0.0,161.0,139.0
jvcl.csv,72.0,0.0,355.0,0.0,59.0,12.0,9.0,0.0,91.0,57.0,16.0,27.0,49.0,128.0,54.0,60.0,0.0,6.0,9.0,0.0
kaffeine.csv,54.0,4.0,0.0,10.0,0.0,24.0,15.0,0.0,2.0,59.0,27.0,37.0,23.0,6.0,8.0,176.0,0.0,2.0,37.0,16.0
m-m-m.csv,37.0,4.0,0.0,1.0,1.0,10.0,5.0,0.0,11.0,40.0,26.0,37.0,14.0,7.0,3.0,101.0,0.0,2.0,43.0,7.0
myfaces.csv,5.0,4.0,355.0,2.0,0.0,21.0,15.0,1.0,91.0,61.0,7.0,0.0,49.0,5.0,54.0,82.0,0.0,7.0,1.0,8.0
nh3d.csv,72.0,108.0,0.0,158.0,59.0,169.0,92.0,60.0,91.0,61.0,276.0,1.0,49.0,128.0,54.0,1.0,68.0,17.0,0.0,1.0
poormans.csv,72.0,5.0,0.0,21.0,0.0,21.0,1.0,0.0,4.0,2.0,4.0,0.0,14.0,4.0,8.0,53.0,5.0,2.0,0.0,13.0
sarasvati.csv,72.0,108.0,355.0,158.0,59.0,0.0,92.0,0.0,4.0,61.0,0.0,9.0,49.0,128.0,54.0,96.0,0.0,3.0,161.0,139.0
smartgwt.csv,16.0,7.0,355.0,1.0,1.0,2.0,4.0,0.0,9.0,22.0,23.0,13.0,21.0,12.0,5.0,144.0,5.0,0.0,13.0,4.0
taokgame.csv,72.0,108.0,0.0,158.0,0.0,1.0,2.0,60.0,0.0,56.0,1.0,11.0,49.0,8.0,3.0,1.0,3.0,0.0,6.0,0.0
wgs-assembler.csv,72.0,0.0,41.0,31.0,0.0,3.0,1.0,0.0,1.0,32.0,11.0,4.0,7.0,7.0,4.0,58.0,0.0,2.0,7.0,5.0
