,umber.csv,openwbem.csv,orc.csv,ivatamasks.csv,oppna-program-hsatools.csv,ogrehg.csv,iaml.csv,cubefs.csv,bwapi.csv,xcmetadataservicestoolkit.csv,kolmafia.csv,olex2.csv,ta3d.csv,gisgraphy.csv
bwapi.csv,0.43,0.52,0.24,0.81,0.94,0.53,0.72,0.72,0.84,0.84,0.72,0.56,0.79,0.31
cubefs.csv,0.7,0.29,0.05,0.82,0.6,0.54,0.65,0.78,0.25,0.71,0.67,0.63,0.8,0.2
gisgraphy.csv,0.0,0.16,0.22,0.0,0.09,0.3,0.08,0.64,0.23,0.09,0.46,0.1,0.0,0.62
iaml.csv,0.17,0.41,0.2,0.69,0.68,0.46,0.72,0.26,0.38,0.63,0.54,0.42,0.42,0.45
ivatamasks.csv,0.4,0.53,0.17,0.78,0.72,0.56,0.7,0.8,0.53,0.59,0.74,0.63,0.79,0.49
kolmafia.csv,0.43,0.57,0.18,0.81,0.85,0.55,0.58,0.78,0.37,0.87,0.7,0.63,0.74,0.46
ogrehg.csv,0.11,0.52,0.2,0.73,0.7,0.61,0.57,0.54,0.39,0.71,0.64,0.63,0.71,0.32
olex2.csv,0.66,0.42,0.09,0.82,0.5,0.31,0.59,0.73,0.05,0.66,0.5,0.72,0.65,0.16
openwbem.csv,0.55,0.57,0.25,0.78,0.39,0.52,0.39,0.64,0.36,0.67,0.64,0.58,0.74,0.43
oppna-program-hsatools.csv,0.48,0.52,0.29,0.81,0.9,0.5,0.58,0.53,0.25,0.87,0.72,0.59,0.72,0.32
orc.csv,0.08,0.41,0.48,0.51,0.76,0.48,0.17,0.61,0.06,0.62,0.39,0.4,0.21,0.38
ta3d.csv,0.68,0.23,0.27,0.78,0.43,0.16,0.65,0.7,0.08,0.54,0.65,0.24,0.71,0.29
umber.csv,0.78,0.55,0.19,0.85,0.9,0.51,0.69,0.81,0.64,0.77,0.72,0.63,0.73,0.49
xcmetadataservicestoolkit.csv,0.69,0.36,0.25,0.78,0.56,0.39,0.67,0.4,0.57,0.85,0.67,0.47,0.8,0.3
