,thrust.csv,k3b.csv,mp-rechnungs-und-kundenverwaltung.csv,fityk.csv
fityk.csv,0.38,0.6,0.43,1.0
k3b.csv,0.0,0.97,0.49,0.58
mp-rechnungs-und-kundenverwaltung.csv,0.23,0.58,0.96,0.26
thrust.csv,0.94,0.56,0.22,0.08
