,baadengine.csv,werx.csv,plog4u.csv,jgameai.csv,zealos.csv,jaxen.csv,bnetd.csv,vars-redux.csv,wishmaster.csv,motu.csv,all-plasm.csv,impala.csv,xreal.csv,jparsec.csv
all-plasm.csv,0.6,0.85,0.0,0.37,0.37,0.21,0.67,0.59,0.22,0.36,1.0,0.18,0.03,0.39
baadengine.csv,0.99,0.82,0.05,0.33,0.59,0.13,0.57,0.58,0.38,0.47,0.45,0.18,0.02,0.59
bnetd.csv,0.8,0.72,0.04,0.33,0.24,0.11,1.0,0.57,0.31,0.31,0.44,0.22,0.07,0.49
impala.csv,0.31,0.0,0.02,0.45,0.16,0.0,0.42,0.42,0.15,0.3,0.47,0.91,0.0,0.55
jaxen.csv,0.02,0.11,0.0,0.06,0.0,1.0,0.0,0.27,0.16,0.32,0.09,0.07,0.0,0.04
jgameai.csv,0.23,0.31,0.08,0.98,0.44,0.0,0.39,0.32,0.1,0.14,0.43,0.18,0.0,0.17
jparsec.csv,0.64,0.37,0.03,0.39,0.33,0.19,0.23,0.43,0.32,0.4,0.54,0.18,0.05,0.99
motu.csv,0.54,0.16,0.0,0.0,0.06,0.1,0.0,0.34,0.0,0.96,0.3,0.0,0.0,0.08
vars-redux.csv,0.41,0.39,0.08,0.24,0.42,0.17,0.43,0.98,0.12,0.54,0.56,0.11,0.0,0.47
werx.csv,0.86,1.0,0.02,0.45,0.46,0.11,0.69,0.59,0.31,0.36,0.58,0.22,0.05,0.57
wishmaster.csv,0.58,0.27,0.0,0.35,0.0,0.07,0.5,0.24,0.92,0.22,0.27,0.23,0.1,0.27
xreal.csv,0.0,0.0,0.0,0.07,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.08,1.0,0.0
zealos.csv,0.47,0.6,0.0,0.34,0.95,0.15,0.43,0.54,0.22,0.44,0.61,0.13,0.04,0.44
