,baadengine.csv,werx.csv,plog4u.csv,jgameai.csv,zealos.csv,jaxen.csv,bnetd.csv,vars-redux.csv,wishmaster.csv,motu.csv,all-plasm.csv,impala.csv,xreal.csv,jparsec.csv
all-plasm.csv,0.5,0.54,0.0,0.51,0.5,0.76,0.48,0.62,0.43,0.59,1.0,0.46,0.23,0.44
baadengine.csv,0.99,0.0,0.89,0.39,0.76,0.63,0.55,0.64,0.66,0.75,0.44,0.5,0.22,0.62
bnetd.csv,0.57,0.0,0.86,0.41,0.27,0.52,1.0,0.62,0.58,0.48,0.41,0.6,0.65,0.55
impala.csv,0.23,0.0,0.27,0.24,0.2,0.0,0.33,0.44,0.17,0.17,0.46,0.87,0.0,0.54
jaxen.csv,0.01,0.07,0.0,0.05,0.0,1.0,0.0,0.19,0.17,0.27,0.06,0.05,0.0,0.02
jgameai.csv,0.17,0.21,0.94,0.97,0.4,0.0,0.38,0.28,0.09,0.18,0.46,0.32,0.0,0.16
jparsec.csv,0.55,0.26,0.77,0.55,0.41,0.75,0.18,0.45,0.59,0.64,0.58,0.46,0.53,0.98
motu.csv,0.45,0.11,0.0,0.0,0.04,0.24,0.0,0.26,0.0,0.93,0.23,0.0,0.0,0.05
vars-redux.csv,0.33,0.0,0.94,0.27,0.56,0.76,0.37,0.97,0.09,0.79,0.56,0.23,0.0,0.54
werx.csv,0.0,1.0,0.0,0.0,0.05,0.0,0.0,0.05,0.0,0.0,0.0,0.05,0.0,0.0
wishmaster.csv,0.49,0.19,0.0,0.42,0.0,0.23,0.43,0.21,0.88,0.34,0.31,0.44,0.62,0.26
xreal.csv,0.0,0.0,0.0,0.05,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.05,1.0,0.0
zealos.csv,0.38,0.45,0.0,0.41,0.92,0.69,0.36,0.59,0.39,0.63,0.66,0.31,0.42,0.45
