,baadengine.csv,werx.csv,plog4u.csv,jgameai.csv,zealos.csv,jaxen.csv,bnetd.csv,vars-redux.csv,wishmaster.csv,motu.csv,all-plasm.csv,impala.csv,xreal.csv,jparsec.csv
all-plasm.csv,0.67,0.79,1.16,0.81,0.75,0.41,0.84,0.71,0.8,0.73,0.0,0.72,0.89,0.78
baadengine.csv,0.02,1.04,0.38,0.72,0.47,0.69,0.61,0.61,0.55,0.52,0.89,0.81,0.97,0.49
bnetd.csv,0.77,1.09,0.44,0.73,0.83,0.81,0.0,0.6,0.68,0.69,0.92,0.72,0.73,0.65
impala.csv,0.82,1.0,0.93,0.94,0.92,1.02,0.72,0.87,0.87,0.98,0.87,0.16,1.01,0.8
jaxen.csv,0.99,0.94,1.0,0.96,1.0,0.0,1.0,0.84,0.87,0.77,0.95,0.96,1.0,0.98
jgameai.csv,0.89,0.96,0.24,0.04,0.88,1.02,0.84,0.78,0.93,0.89,0.7,0.76,1.02,0.91
jparsec.csv,0.65,0.92,0.6,0.7,0.92,0.46,0.88,0.71,0.66,0.59,0.73,0.73,0.75,0.02
motu.csv,0.7,0.91,1.0,1.0,0.97,0.82,1.0,0.78,1.0,0.08,0.81,1.0,1.0,0.96
vars-redux.csv,0.79,1.25,0.24,0.82,0.65,0.61,0.71,0.04,0.93,0.4,0.53,0.86,1.01,0.71
werx.csv,1.0,0.0,1.0,1.0,0.99,1.0,1.0,0.99,1.0,1.0,1.0,0.99,1.0,1.0
wishmaster.csv,0.65,0.84,1.02,0.7,1.0,0.84,0.64,0.86,0.14,0.82,0.93,0.67,0.5,0.82
xreal.csv,1.0,1.0,1.0,0.96,1.0,1.0,0.97,1.0,1.0,1.0,1.0,0.96,0.0,1.0
zealos.csv,0.72,0.75,1.04,0.71,0.1,0.58,0.71,0.63,0.77,0.5,0.5,0.83,0.77,0.66
