,paintown.csv,triplea.csv,fbmanager.csv,google-caja.csv,myfaces.csv,k3b.csv,dspace-gsoc.csv,itext.csv,powerfolder.csv,smartgwt.csv,fido.csv,megameknet.csv,fityk.csv,ondex.csv,poormans.csv,fleet-simulator.csv,hibernate.csv,ninject.csv
dspace-gsoc.csv,0.63,0.68,0.66,0.8,0.27,0.72,0.79,0.7,0.03,0.16,0.07,0.36,0.66,0.32,0.37,0.95,0.44,0.22
fbmanager.csv,0.4,0.38,0.73,0.3,0.23,0.48,0.44,0.34,0.15,0.38,0.07,0.48,0.6,0.0,0.51,0.43,0.0,0.24
fido.csv,0.0,0.17,0.0,0.48,0.0,0.07,0.0,0.0,0.0,0.06,0.4,0.0,0.0,0.13,0.0,0.41,0.25,0.0
fityk.csv,0.59,0.7,0.64,0.79,0.28,0.51,0.52,0.56,0.1,0.18,0.07,0.39,0.75,0.26,0.38,0.31,0.43,0.15
fleet-simulator.csv,0.64,0.71,0.66,0.8,0.32,0.83,0.77,0.7,0.07,0.53,0.08,0.41,0.78,0.29,0.45,1.0,0.44,0.17
google-caja.csv,0.7,0.73,0.72,0.87,0.24,0.77,0.77,0.71,0.08,0.39,0.07,0.45,0.76,0.29,0.44,0.91,0.46,0.17
hibernate.csv,0.61,0.56,0.64,0.7,0.24,0.59,0.5,0.37,0.11,0.39,0.12,0.51,0.56,0.29,0.44,0.52,0.49,0.18
itext.csv,0.71,0.73,0.68,0.85,0.25,0.69,0.76,0.75,0.08,0.38,0.08,0.38,0.75,0.25,0.48,0.79,0.5,0.16
k3b.csv,0.64,0.7,0.69,0.82,0.25,0.8,0.71,0.64,0.12,0.38,0.06,0.37,0.75,0.27,0.32,0.51,0.44,0.13
megameknet.csv,0.62,0.7,0.74,0.8,0.28,0.69,0.63,0.75,0.07,0.51,0.08,0.55,0.74,0.26,0.47,0.89,0.43,0.24
myfaces.csv,0.62,0.53,0.58,0.42,0.45,0.54,0.45,0.47,0.1,0.55,0.1,0.56,0.63,0.3,0.44,0.8,0.48,0.17
ninject.csv,0.49,0.56,0.5,0.51,0.19,0.25,0.56,0.68,0.05,0.54,0.12,0.34,0.51,0.1,0.33,0.35,0.28,0.56
ondex.csv,0.4,0.42,0.25,0.32,0.24,0.35,0.56,0.26,0.0,0.08,0.04,0.32,0.5,0.44,0.44,0.48,0.31,0.31
paintown.csv,0.74,0.66,0.69,0.78,0.22,0.64,0.7,0.55,0.07,0.34,0.06,0.37,0.74,0.28,0.29,0.84,0.42,0.15
poormans.csv,0.2,0.56,0.15,0.48,0.38,0.37,0.38,0.72,0.29,0.41,0.0,0.52,0.36,0.28,0.6,0.14,0.34,0.5
powerfolder.csv,0.54,0.3,0.61,0.23,0.3,0.67,0.47,0.32,0.48,0.38,0.1,0.33,0.54,0.3,0.37,0.53,0.43,0.06
smartgwt.csv,0.61,0.62,0.7,0.81,0.31,0.67,0.64,0.21,0.32,0.58,0.09,0.29,0.67,0.27,0.41,0.12,0.39,0.16
triplea.csv,0.63,0.72,0.57,0.78,0.26,0.75,0.68,0.63,0.14,0.38,0.02,0.43,0.66,0.31,0.4,0.85,0.4,0.15
