,gtad.csv,wgs-assembler.csv,nh3d.csv,jvcl.csv,kaffeine.csv,sarasvati.csv,blogentis.csv,m-m-m.csv,taokgame.csv,scen-connect.csv,htmlunit.csv,jaxen.csv,emulemorph.csv,jsr308-langtools.csv,continuum-ide.csv,motu.csv,anaxagora.csv,carabiner.csv,free-evolution.csv,jfreechart.csv
anaxagora.csv,0.37,0.59,0.89,1.0,0.0,0.57,0.86,0.3,0.41,0.61,0.35,0.43,0.65,0.35,0.69,0.76,0.27,0.49,0.27,0.67
blogentis.csv,0.54,0.83,0.86,0.13,1.0,0.28,0.29,0.4,0.39,0.33,0.74,0.24,0.7,0.15,0.95,0.24,0.39,0.1,0.79,0.36
carabiner.csv,0.62,0.84,0.39,0.45,0.09,0.17,0.57,0.3,0.76,0.62,0.75,0.61,0.57,0.1,0.62,0.46,0.58,0.25,0.35,0.6
continuum-ide.csv,0.15,0.14,0.31,0.73,0.91,0.06,0.06,0.3,0.12,0.05,0.26,0.07,0.31,0.2,0.23,0.2,0.04,0.02,0.44,0.39
emulemorph.csv,0.0,0.47,0.23,0.15,0.09,0.23,0.22,0.0,0.12,0.46,0.02,0.06,0.35,0.1,0.13,0.33,0.1,0.47,0.2,0.46
free-evolution.csv,0.38,1.0,0.7,0.5,0.09,0.42,0.68,0.4,0.7,0.67,0.44,0.21,0.43,0.6,0.82,0.74,0.47,0.57,0.34,0.98
gtad.csv,0.18,0.44,0.37,0.1,0.0,0.14,0.46,0.0,0.09,0.36,0.09,0.04,0.27,0.0,0.33,0.37,0.17,0.1,0.14,0.21
htmlunit.csv,0.49,0.81,0.53,0.53,0.0,0.35,0.68,0.0,0.33,0.66,0.26,0.18,0.47,0.1,0.56,0.74,0.45,0.43,0.24,0.72
jaxen.csv,0.85,0.84,0.9,0.55,1.0,0.52,0.81,0.8,0.37,0.89,0.44,0.11,0.85,0.75,0.82,0.78,0.86,0.84,0.54,0.77
jsr308-langtools.csv,1.0,0.04,0.0,0.0,1.0,0.97,1.0,1.0,0.77,1.0,0.0,1.0,0.0,0.05,1.0,1.0,0.94,1.0,1.0,0.2
jvcl.csv,0.18,0.04,0.0,0.22,0.0,0.11,0.36,0.0,0.34,0.3,0.07,0.32,0.34,0.1,0.26,0.2,0.11,0.43,0.05,0.56
kaffeine.csv,0.96,0.1,0.53,0.99,0.09,0.46,0.57,0.4,0.5,0.44,0.55,0.54,0.92,1.0,0.92,0.54,0.38,0.33,0.61,0.56
m-m-m.csv,0.55,0.47,0.88,0.74,0.55,0.8,0.88,0.4,0.85,0.98,0.77,0.99,0.57,0.7,0.82,0.91,0.81,0.98,0.52,0.38
motu.csv,0.75,0.66,0.85,0.94,0.82,0.89,0.99,0.8,0.73,0.08,0.99,1.0,0.66,0.9,0.51,0.2,0.66,0.53,0.36,0.99
nh3d.csv,1.0,0.46,0.01,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.12,1.0,0.04,0.95,1.0,1.0,1.0,1.0,1.0,1.0
sarasvati.csv,0.34,0.21,0.37,0.66,0.0,0.3,0.39,0.2,0.35,0.26,0.37,0.9,0.26,0.4,0.41,0.37,0.3,0.29,0.14,0.22
taokgame.csv,0.23,0.01,0.0,0.38,0.0,0.27,0.26,0.0,0.1,0.44,0.07,0.21,0.32,0.25,0.26,0.09,0.48,0.33,0.06,0.14
wgs-assembler.csv,0.27,0.37,0.56,0.88,0.0,0.44,0.57,0.0,0.35,0.75,0.14,0.27,0.16,0.2,0.33,0.63,0.58,0.25,0.37,0.32
