,elmo.csv,vapor.csv,nicepress.csv,etherboot.csv,gpac.csv,gebr.csv,libtorrent.csv,modellus.csv,ffigo.csv,mplayer-ce.csv,miranda.csv
elmo.csv,0.33,0.38,0.06,0.34,0.17,0.08,0.0,0.14,0.23,0.12,0.17
etherboot.csv,0.79,0.0,0.52,0.3,0.0,0.26,0.0,0.1,0.0,0.0,0.0
ffigo.csv,0.01,0.23,0.25,0.57,0.06,0.03,0.17,0.51,0.27,0.35,0.08
gebr.csv,0.6,0.85,0.88,0.69,0.68,0.13,0.72,0.95,0.89,0.95,0.9
gpac.csv,0.21,0.31,0.14,0.11,0.34,0.0,0.06,0.3,0.75,0.97,1.0
libtorrent.csv,0.99,0.55,0.36,0.79,0.81,0.24,0.28,0.53,0.36,0.76,0.62
miranda.csv,0.03,0.01,0.36,0.36,0.06,0.0,0.56,0.09,1.0,0.13,0.5
modellus.csv,0.25,0.17,0.41,0.64,0.26,0.08,0.06,0.2,0.16,0.96,0.82
mplayer-ce.csv,0.7,0.69,0.49,0.92,0.45,0.45,0.5,0.83,0.5,0.32,0.49
nicepress.csv,0.78,0.45,0.2,0.84,0.94,0.68,0.11,0.41,0.8,0.97,0.85
vapor.csv,0.97,0.25,0.97,0.92,0.0,0.97,0.33,0.79,0.36,0.0,0.0
