,paintown.csv,triplea.csv,fbmanager.csv,google-caja.csv,myfaces.csv,k3b.csv,dspace-gsoc.csv,itext.csv,powerfolder.csv,smartgwt.csv,fido.csv,megameknet.csv,fityk.csv,ondex.csv,poormans.csv,fleet-simulator.csv,hibernate.csv,ninject.csv
dspace-gsoc.csv,0.38,0.14,0.29,0.15,0.25,0.33,0.0,0.43,0.41,0.05,0.21,0.22,0.36,0.19,0.2,0.0,0.33,0.09
fbmanager.csv,0.26,0.24,0.0,0.37,0.4,0.38,0.53,0.17,0.26,0.2,0.35,0.17,0.5,0.72,0.5,0.0,0.37,0.31
fido.csv,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0
fityk.csv,0.37,0.57,0.58,0.52,0.28,0.5,0.79,0.47,0.32,0.28,0.18,0.3,0.05,0.52,0.28,0.12,0.36,0.4
fleet-simulator.csv,0.82,0.86,0.9,0.81,0.8,1.0,0.95,0.87,0.53,0.36,0.92,0.79,0.95,0.94,0.72,0.0,0.74,0.84
google-caja.csv,0.56,0.81,0.32,0.0,0.82,0.58,0.53,0.33,0.79,0.78,0.91,0.53,0.59,0.88,0.62,0.12,0.7,0.27
hibernate.csv,0.12,0.43,0.06,0.07,0.34,0.33,0.21,0.13,0.15,0.16,0.2,0.18,0.09,0.45,0.12,0.88,0.0,0.93
itext.csv,0.23,0.29,0.29,0.33,0.49,0.46,0.42,0.0,0.51,0.23,0.33,0.26,0.55,0.28,0.27,0.0,0.27,0.16
k3b.csv,0.44,0.48,0.55,0.3,0.37,0.04,0.79,0.4,0.36,0.46,0.23,0.34,0.45,0.39,0.29,0.12,0.31,0.22
megameknet.csv,0.73,0.71,0.68,0.33,0.48,0.62,0.58,0.73,0.59,0.69,0.6,0.01,0.55,0.75,0.82,1.0,0.52,0.18
myfaces.csv,0.62,0.48,0.52,0.78,0.0,0.46,0.47,0.73,0.65,0.02,0.71,0.42,0.36,0.53,0.06,1.0,0.7,0.65
ninject.csv,0.01,0.1,0.0,0.07,0.11,0.04,0.26,0.1,0.19,0.05,0.21,0.05,0.0,0.06,0.03,0.0,0.14,0.0
ondex.csv,0.59,0.29,0.35,0.11,0.31,0.42,0.21,0.17,0.24,0.16,0.56,0.12,0.41,0.0,0.41,0.12,0.59,0.09
paintown.csv,0.0,0.52,0.26,0.48,0.76,0.46,0.74,0.13,0.65,0.37,0.87,0.43,0.55,0.67,0.29,0.12,0.56,0.47
poormans.csv,0.67,0.57,0.29,0.15,0.15,0.5,0.16,0.77,0.27,0.04,0.25,0.13,0.36,0.34,0.0,0.5,0.15,0.04
powerfolder.csv,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.01,0.0,0.0,0.01,0.04
smartgwt.csv,0.1,0.52,0.23,0.37,0.41,0.46,0.32,0.27,0.21,0.0,0.26,0.21,0.36,0.31,0.32,0.0,0.25,0.47
triplea.csv,0.68,0.0,0.48,0.44,0.56,0.5,0.58,0.63,0.42,0.15,0.7,0.34,0.32,0.31,0.58,0.38,0.28,0.35
