,esmf.csv,pentahoanalysistool.csv,phet.csv,voms.csv,aztec.csv,qtractor.csv,acegisecurity.csv,bibedt.csv,kowari.csv,sumatrapdf.csv,irrlicht.csv,modellus.csv,open-data-kit.csv,roller.csv,ultimairis.csv,lportal.csv,jstock.csv,synergyspace.csv
acegisecurity.csv,0.99,0.54,0.88,0.85,0.43,0.61,0.03,0.61,0.66,0.55,0.69,0.54,0.73,0.52,0.69,0.51,0.54,0.61
aztec.csv,0.93,0.85,0.76,0.9,0.12,0.64,0.73,0.4,0.9,0.89,0.7,0.86,0.74,0.94,0.7,0.84,0.76,0.79
bibedt.csv,0.76,0.57,0.84,0.82,0.68,0.77,0.6,0.2,0.72,0.81,0.67,0.44,0.68,0.53,0.57,0.44,0.85,0.84
esmf.csv,0.12,0.9,0.7,0.48,0.66,0.96,0.75,0.67,0.86,1.0,0.78,0.9,0.89,0.98,0.77,0.76,0.58,0.8
irrlicht.csv,0.62,0.56,0.79,0.87,0.93,0.54,0.62,0.88,0.72,0.63,0.02,0.43,0.65,0.77,0.8,0.67,0.66,0.7
jstock.csv,0.64,0.9,0.94,0.78,0.52,0.45,0.88,0.66,0.37,0.81,0.75,0.91,0.92,0.73,0.75,0.72,0.02,0.85
kowari.csv,1.0,1.0,0.97,0.78,0.83,1.0,1.0,1.0,0.0,1.0,0.98,0.98,1.0,0.98,1.0,0.97,1.0,1.0
lportal.csv,0.79,0.87,0.6,1.0,0.6,0.76,0.87,0.93,0.87,0.76,0.77,0.89,0.83,0.87,0.67,0.15,0.68,0.76
modellus.csv,0.65,0.61,0.86,0.81,0.71,0.57,0.58,0.58,0.48,0.53,0.69,0.02,0.71,0.51,0.63,0.5,0.74,0.75
open-data-kit.csv,0.86,0.61,0.74,0.83,0.66,0.6,0.69,0.4,0.82,0.76,0.67,0.73,0.01,0.58,0.73,0.68,0.59,0.91
pentahoanalysistool.csv,0.88,0.0,0.86,0.79,0.96,0.73,0.58,0.91,1.02,0.65,0.93,0.66,0.79,0.63,0.94,0.64,0.78,0.9
phet.csv,0.94,0.96,0.09,0.86,0.74,0.95,0.86,0.9,0.88,1.0,0.78,0.93,0.84,0.65,0.82,0.92,0.96,0.8
qtractor.csv,0.49,0.45,0.88,0.59,0.67,0.04,0.54,0.54,0.92,0.5,0.57,0.46,0.69,0.5,0.7,0.59,0.62,0.81
roller.csv,0.7,0.64,0.71,0.46,0.39,0.4,0.62,0.53,0.65,0.69,0.68,0.56,0.67,0.03,0.8,0.49,0.59,0.69
sumatrapdf.csv,0.66,0.72,0.83,0.62,0.39,0.72,0.62,0.81,0.76,0.03,0.62,0.54,0.68,0.92,0.6,0.86,0.7,0.63
synergyspace.csv,0.93,0.74,0.8,0.78,1.0,0.92,0.7,0.84,0.86,0.7,0.8,0.6,0.77,0.54,0.87,0.79,1.0,0.12
ultimairis.csv,0.71,0.85,0.88,0.96,0.62,0.72,0.82,0.81,0.82,0.6,0.63,0.74,0.67,0.93,0.02,0.95,0.81,0.92
voms.csv,0.94,0.89,0.99,0.0,0.92,0.97,0.95,1.0,0.87,0.94,0.84,0.81,0.91,0.72,0.94,0.81,1.0,0.96
