,olap-navigator.csv,ikvm.csv,sepgsql.csv,mcmc-jags.csv,pidgin.csv,libtorrent.csv,nebuladevice.csv
ikvm.csv,0.56,1.0,0.03,0.19,0.74,0.79,0.04
libtorrent.csv,0.7,0.38,0.06,0.33,0.79,1.0,0.19
mcmc-jags.csv,0.78,0.44,0.04,1.0,0.75,0.85,0.11
nebuladevice.csv,0.52,0.6,0.11,0.43,0.88,0.83,1.0
olap-navigator.csv,1.0,0.52,0.08,0.7,0.87,0.94,0.18
pidgin.csv,0.85,0.46,0.05,0.33,0.99,0.88,0.23
sepgsql.csv,0.65,0.46,1.0,0.75,0.85,0.77,0.0
