,pclasses.csv,tzod.csv,atlc.csv,theresa.csv,pfaedit.csv,thrust.csv,yaprm.csv,tktoolkit.csv,miranda-icq.csv,aten.csv,trinitycore.csv,rockbox.csv
atlc.csv,0.58,0.56,1.0,0.52,0.7,0.51,0.63,0.43,0.56,0.0,0.58,0.54
miranda-icq.csv,0.11,0.51,0.2,0.66,0.39,0.21,0.17,0.52,0.9,0.34,0.46,0.25
pclasses.csv,1.0,0.59,0.0,0.71,0.05,0.0,0.13,0.0,0.0,0.04,0.47,0.38
pfaedit.csv,0.22,0.3,0.18,0.69,0.96,0.0,0.36,0.51,0.29,0.26,0.44,0.3
rockbox.csv,0.21,0.64,0.26,0.37,0.36,0.0,0.44,0.3,0.38,0.35,0.35,1.0
theresa.csv,0.0,0.05,0.0,1.0,0.02,0.0,0.0,0.0,0.02,0.01,0.02,0.0
thrust.csv,0.11,0.05,0.31,0.87,0.62,0.9,0.17,0.4,0.2,0.33,0.49,0.25
tktoolkit.csv,0.52,0.56,0.25,0.36,0.34,0.0,0.3,0.82,0.41,0.0,0.6,0.0
trinitycore.csv,0.58,0.18,0.02,0.36,0.32,0.07,0.17,0.26,0.2,0.18,0.97,0.3
tzod.csv,0.31,0.97,0.46,0.9,0.56,0.07,0.58,0.52,0.45,0.61,0.52,0.36
yaprm.csv,0.59,0.63,0.33,0.92,0.31,0.66,0.98,0.62,0.45,0.52,0.53,0.56
