,pclasses.csv,tzod.csv,atlc.csv,theresa.csv,pfaedit.csv,thrust.csv,yaprm.csv,tktoolkit.csv,miranda-icq.csv,aten.csv,trinitycore.csv,rockbox.csv
atlc.csv,0.17,0.42,1.0,0.07,0.69,0.25,0.54,0.1,0.26,0.99,0.26,0.43
miranda-icq.csv,0.1,0.36,0.64,0.1,0.7,0.33,0.29,0.14,0.98,1.0,0.32,0.4
pclasses.csv,1.0,0.4,0.0,0.33,0.5,0.0,0.57,0.0,0.0,1.0,0.51,0.26
pfaedit.csv,0.67,0.47,1.0,0.14,0.98,0.0,0.52,0.19,0.28,1.0,0.29,0.62
rockbox.csv,0.17,0.43,0.82,0.06,0.77,0.0,0.48,0.21,0.19,1.0,0.3,1.0
theresa.csv,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.25,1.0,1.0,0.0
thrust.csv,0.06,0.11,0.58,0.12,0.66,0.94,0.45,0.23,0.17,1.0,0.34,0.57
tktoolkit.csv,0.19,0.37,0.5,0.06,0.56,0.27,0.51,1.0,0.24,0.99,0.26,0.36
trinitycore.csv,0.27,0.25,0.5,0.05,0.79,0.12,0.56,0.12,0.3,1.0,0.96,0.45
tzod.csv,0.3,1.0,0.85,0.14,0.69,0.09,0.53,0.14,0.31,1.0,0.33,0.43
yaprm.csv,0.19,0.49,0.4,0.17,0.47,0.35,1.0,0.22,0.29,1.0,0.28,0.41
