,pclasses.csv,tzod.csv,atlc.csv,theresa.csv,pfaedit.csv,thrust.csv,yaprm.csv,tktoolkit.csv,miranda-icq.csv,aten.csv,trinitycore.csv,rockbox.csv
atlc.csv,0.52,0.47,0.51,0.41,0.35,0.5,0.37,0.47,0.38,0.4,0.43,0.57
miranda-icq.csv,0.9,0.56,0.91,0.55,0.67,0.89,0.82,0.43,0.83,0.67,0.64,0.9
pclasses.csv,0.91,0.48,0.0,0.83,0.75,0.0,0.86,0.0,0.0,0.8,0.91,0.62
pfaedit.csv,0.67,0.87,0.83,0.57,0.36,0.0,0.57,0.56,0.7,0.66,0.47,0.62
rockbox.csv,0.75,0.39,0.91,0.5,0.73,0.5,0.45,0.96,0.4,0.56,0.75,0.47
theresa.csv,0.0,0.0,0.0,0.67,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0
thrust.csv,0.81,0.89,0.84,0.38,0.36,0.88,0.91,0.71,0.88,0.75,0.59,0.86
tktoolkit.csv,0.44,0.39,0.94,0.42,0.38,0.39,0.34,0.94,0.61,0.4,0.55,0.44
trinitycore.csv,0.73,0.88,0.5,0.59,0.74,0.88,0.89,0.98,0.97,0.97,0.8,0.91
tzod.csv,0.8,0.58,0.65,0.48,0.48,0.82,0.42,0.47,0.48,0.44,0.55,0.5
yaprm.csv,0.59,0.51,0.63,0.61,0.66,0.62,0.53,0.62,0.67,0.54,0.65,0.63
