,fido.csv,poormans.csv,hibernate.csv,ninject.csv,geogebra.csv,fluent-nhibernate.csv,uface.csv
fido.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.16
fluent-nhibernate.csv,0.0,0.18,0.14,0.2,0.12,0.35,0.19
geogebra.csv,0.75,0.56,0.43,0.2,0.34,0.76,0.56
hibernate.csv,0.0,0.26,0.21,0.6,0.24,0.76,0.37
ninject.csv,0.25,0.62,0.38,0.6,0.42,0.82,0.44
poormans.csv,0.25,0.53,0.22,0.6,0.39,0.53,0.2
uface.csv,1.0,1.0,0.75,1.0,0.95,0.94,0.97
