,sauerbraten.csv,brlcad.csv,delphilhlplib.csv,fltk.csv,exordium.csv,gzigzag.csv,mptvseries.csv,toped.csv,ogre.csv,autat.csv,mimosa.csv,irrlicht.csv,qse.csv,truevision.csv,zoolib.csv,openfrag.csv,auber.csv,google-web-toolkit.csv,qdvdauthor.csv
auber.csv,0.65,0.17,0.82,0.63,0.22,0.26,0.52,0.86,0.99,0.22,0.54,0.79,0.55,0.47,0.18,0.63,1.0,0.65,0.77
autat.csv,0.7,0.09,0.88,0.81,0.67,0.38,1.0,0.88,1.0,1.0,0.44,0.77,0.78,1.0,0.25,0.92,0.46,0.59,0.65
brlcad.csv,0.46,0.87,0.77,0.5,0.25,0.27,0.47,0.86,0.99,0.11,1.0,0.9,0.45,0.24,0.12,0.53,0.41,0.61,0.64
delphilhlplib.csv,0.58,0.39,1.0,0.58,0.28,0.29,0.4,0.88,0.99,0.2,0.76,0.77,0.43,0.39,0.09,0.56,0.56,0.59,0.67
exordium.csv,0.2,0.22,0.73,0.55,1.0,0.3,0.36,0.8,1.0,0.24,0.5,0.76,0.41,0.22,0.15,0.55,0.39,0.6,0.4
fltk.csv,0.69,0.25,0.74,0.95,0.45,0.27,0.69,0.9,1.0,0.25,0.47,0.84,0.7,0.61,0.23,0.92,0.82,0.68,0.91
google-web-toolkit.csv,0.72,0.31,0.88,0.65,0.38,0.32,0.4,0.9,0.94,0.17,0.54,0.69,0.48,0.36,0.15,0.74,0.65,1.0,0.72
gzigzag.csv,0.65,0.14,0.76,0.56,0.27,0.96,0.46,0.77,0.98,0.16,0.83,0.74,0.62,0.31,0.04,0.52,0.4,0.63,0.57
irrlicht.csv,0.63,0.25,0.93,0.6,0.27,0.32,0.52,0.81,0.98,0.18,0.6,1.0,0.42,0.37,0.1,0.56,0.6,0.61,0.67
mimosa.csv,0.63,0.25,0.76,0.62,0.31,0.25,0.36,0.86,0.98,0.2,0.97,0.79,0.39,0.35,0.1,0.58,0.56,0.61,0.7
mptvseries.csv,0.67,0.31,0.89,0.73,0.39,0.28,1.0,0.88,0.94,0.17,0.7,0.85,0.81,0.49,0.19,0.81,0.54,0.61,0.69
ogre.csv,0.64,0.25,0.74,0.57,0.26,0.24,0.41,0.84,1.0,0.19,0.48,0.77,0.42,0.35,0.09,0.55,0.54,0.58,0.68
openfrag.csv,0.65,0.24,0.74,0.64,0.33,0.29,0.48,0.85,0.98,0.29,0.51,0.83,0.48,0.38,0.12,0.96,0.72,0.62,0.76
qdvdauthor.csv,0.53,0.27,0.74,0.54,0.25,0.22,0.41,0.89,0.96,0.16,0.58,0.73,0.41,0.28,0.09,0.67,0.57,0.57,1.0
qse.csv,0.64,0.29,0.83,0.69,0.41,0.32,0.5,0.84,0.96,0.27,0.79,0.76,1.0,0.48,0.12,0.67,0.55,0.56,0.66
sauerbraten.csv,1.0,0.18,0.76,0.74,0.34,0.33,0.69,0.91,0.92,0.17,0.7,0.78,0.4,0.77,0.36,0.81,0.7,0.52,0.71
toped.csv,0.57,0.17,0.78,0.56,0.27,0.31,0.48,1.0,0.96,0.2,0.53,0.77,0.43,0.42,0.09,0.83,0.64,0.63,0.72
truevision.csv,0.65,0.33,0.86,0.72,0.4,0.29,0.5,0.82,0.96,0.16,0.61,0.83,0.54,0.97,0.16,0.56,0.58,0.64,0.63
zoolib.csv,0.88,0.46,0.86,0.89,0.4,0.36,0.75,0.9,1.0,0.12,1.0,0.83,1.0,1.0,0.95,1.0,1.0,0.68,0.88
