,sauerbraten.csv,brlcad.csv,delphilhlplib.csv,fltk.csv,exordium.csv,gzigzag.csv,mptvseries.csv,toped.csv,ogre.csv,autat.csv,mimosa.csv,irrlicht.csv,qse.csv,truevision.csv,zoolib.csv,openfrag.csv,auber.csv,google-web-toolkit.csv,qdvdauthor.csv
auber.csv,0.67,0.94,0.84,0.62,0.78,0.68,0.51,0.68,0.64,0.64,0.61,0.67,0.61,0.55,0.63,0.67,0.03,0.62,0.59
autat.csv,0.61,0.96,0.87,0.69,0.58,0.71,0.79,0.74,0.98,0.06,0.77,0.77,0.61,0.97,0.97,0.83,0.85,0.84,0.79
brlcad.csv,0.9,0.26,0.68,0.88,0.86,0.65,0.62,0.71,0.55,0.89,0.84,0.73,0.69,0.95,0.6,0.75,0.92,0.69,0.76
delphilhlplib.csv,0.91,0.46,0.0,0.87,0.75,0.64,0.87,0.63,0.55,0.7,0.59,0.88,1.0,0.74,0.92,0.83,0.75,0.75,0.91
exordium.csv,0.99,0.8,0.87,0.86,0.0,0.64,0.82,0.82,0.74,0.62,0.85,0.83,0.83,0.88,0.81,0.84,0.89,0.75,0.96
fltk.csv,0.64,0.71,0.73,0.11,0.4,0.64,0.45,0.53,0.83,0.59,0.96,0.61,0.32,0.64,0.48,0.44,0.42,0.6,0.51
google-web-toolkit.csv,0.7,0.59,0.59,0.58,0.55,0.56,0.7,0.68,1.09,0.75,0.62,0.86,0.75,0.88,0.7,0.67,0.59,0.03,0.72
gzigzag.csv,0.67,0.92,0.79,0.72,0.68,0.07,0.58,0.87,0.76,0.85,0.74,0.78,0.43,0.78,0.93,0.75,0.88,0.66,0.85
irrlicht.csv,0.92,0.85,0.5,0.8,0.88,0.55,0.5,1.03,0.76,0.82,0.53,0.01,1.0,0.86,0.77,0.94,0.75,0.68,0.8
mimosa.csv,0.92,0.76,0.84,0.64,0.75,0.72,0.9,0.71,1.02,0.73,0.04,0.81,0.94,0.8,0.75,0.72,0.86,0.68,0.84
mptvseries.csv,0.75,0.64,0.47,0.52,0.47,0.63,0.05,0.61,1.23,0.78,0.54,0.64,0.31,0.52,0.53,0.56,0.73,0.7,0.69
ogre.csv,0.92,0.99,0.95,1.0,0.91,1.0,0.87,1.0,0.0,1.0,1.0,1.0,0.96,0.99,1.0,1.0,1.0,0.97,0.95
openfrag.csv,0.83,0.83,0.82,0.72,0.58,0.61,0.57,0.89,0.76,0.49,0.83,0.56,0.7,0.68,0.67,0.06,0.43,0.76,0.59
qdvdauthor.csv,0.89,0.67,0.72,0.78,0.78,0.76,0.7,0.7,1.17,0.79,0.74,0.8,0.94,0.81,0.69,0.54,0.72,0.73,0.03
qse.csv,0.77,0.66,0.66,0.54,0.44,0.56,0.57,0.82,0.94,0.82,0.44,0.73,0.03,0.57,0.63,0.6,0.7,0.75,0.75
sauerbraten.csv,0.1,0.83,0.75,0.51,0.58,0.69,0.54,0.51,1.03,0.89,0.65,0.75,0.86,0.74,0.68,0.69,0.77,0.83,0.78
toped.csv,0.9,0.87,0.69,0.9,0.83,0.59,0.56,0.02,1.17,0.88,0.74,0.86,0.96,0.62,0.79,0.56,0.57,0.65,0.7
truevision.csv,0.83,0.59,0.44,0.54,0.48,0.65,0.52,0.85,0.91,0.77,0.54,0.61,0.53,0.05,0.46,0.96,0.66,0.62,0.78
zoolib.csv,0.48,0.95,0.89,0.69,0.8,0.83,0.69,0.83,0.98,0.94,0.97,0.92,0.91,0.89,0.32,0.91,0.85,0.92,0.83
