,google-collections.csv,forester-atv.csv,dsworkbench.csv,autofac.csv,adonthell.csv,freelords.csv,jpaul.csv,neodatis-odb.csv,scenemonitor.csv,gabel.csv,mycila.csv,azureus.csv,pokenetonline.csv,avisynth2.csv,octet.csv,twostep.csv,geotools.csv,servicestack.csv,gephex.csv,coot.csv
adonthell.csv,0.91,0.31,0.36,0.38,0.61,0.44,0.71,0.39,0.89,0.41,0.53,0.95,0.53,0.4,0.53,0.39,0.37,0.41,0.36,0.93
autofac.csv,0.57,0.37,0.8,0.48,0.48,0.41,0.46,0.45,0.78,0.48,0.41,0.46,0.61,0.37,0.54,0.5,0.48,0.62,0.35,0.34
avisynth2.csv,0.88,0.79,0.92,0.88,0.0,0.5,0.75,0.67,0.67,0.67,0.67,0.85,0.92,0.8,0.0,0.5,0.96,0.53,0.67,0.0
azureus.csv,0.35,0.34,0.39,0.33,0.47,0.39,0.41,0.42,0.57,0.37,0.52,0.48,0.34,0.41,0.43,0.4,0.36,0.4,0.36,0.41
coot.csv,0.43,0.94,0.0,0.86,0.53,0.65,0.49,0.65,0.38,0.62,0.51,0.47,0.53,0.5,0.49,0.84,0.88,0.0,0.4,0.41
dsworkbench.csv,0.64,0.42,0.45,0.88,0.67,0.8,0.8,0.93,0.67,0.8,0.67,0.92,0.92,0.57,0.67,0.54,0.83,0.86,0.83,0.89
forester-atv.csv,0.54,0.43,0.59,0.78,0.93,0.74,0.73,0.83,0.36,0.93,0.72,0.43,0.4,0.73,0.83,0.92,0.77,0.73,0.94,0.64
freelords.csv,0.36,0.34,0.36,0.38,0.45,0.46,0.39,0.45,0.33,0.41,0.4,0.38,0.48,0.43,0.54,0.33,0.39,0.48,0.37,0.37
gabel.csv,0.0,0.54,0.44,0.62,0.88,0.68,0.47,0.43,0.67,0.57,0.53,0.71,0.34,0.72,0.75,0.65,0.45,0.67,0.86,0.0
geotools.csv,0.38,0.29,0.42,0.45,0.46,0.48,0.44,0.4,0.42,0.42,0.38,0.38,0.34,0.49,0.44,0.4,0.47,0.45,0.36,0.46
gephex.csv,0.72,0.5,0.38,0.37,0.52,0.43,0.49,0.39,0.52,0.5,0.46,0.81,0.35,0.61,0.47,0.42,0.39,0.43,0.47,0.45
google-collections.csv,0.35,0.36,0.36,0.32,0.44,0.38,0.45,0.4,0.33,0.46,0.37,0.4,0.34,0.4,0.45,0.42,0.41,0.41,0.35,0.45
jpaul.csv,0.61,0.46,0.59,0.9,0.0,0.8,0.47,0.95,0.53,0.94,0.67,0.85,0.89,0.0,0.71,0.55,0.71,0.89,0.0,0.0
mycila.csv,0.41,0.93,0.42,0.37,0.44,0.92,0.53,0.58,0.35,0.48,0.69,0.56,0.43,0.52,0.53,0.53,0.5,0.65,0.39,0.69
neodatis-odb.csv,0.44,0.42,0.76,0.59,0.93,0.94,0.5,0.7,0.73,0.55,0.88,0.74,0.87,0.51,0.6,0.9,0.67,0.67,0.49,0.55
octet.csv,0.56,0.39,0.6,0.41,0.91,0.72,0.54,0.59,0.89,0.5,0.57,0.67,0.56,0.4,0.79,0.39,0.5,0.86,0.41,0.45
pokenetonline.csv,0.87,0.31,0.37,0.42,0.58,0.43,0.5,0.4,0.41,0.4,0.44,0.38,0.42,0.43,0.61,0.38,0.39,0.47,0.41,0.44
scenemonitor.csv,0.47,0.3,0.38,0.46,0.45,0.46,0.43,0.48,0.43,0.4,0.55,0.49,0.76,0.61,0.67,0.37,0.39,0.44,0.47,0.4
servicestack.csv,0.67,0.57,0.92,0.8,0.0,0.83,0.5,0.93,0.5,0.67,0.83,0.94,0.89,0.69,0.5,0.75,0.94,0.59,0.0,0.0
twostep.csv,0.5,0.35,0.41,0.36,0.47,0.46,0.54,0.38,0.37,0.42,0.37,0.42,0.35,0.49,0.47,0.42,0.4,0.52,0.39,0.38
